top_high_rank,top_mae,top_r2,top_pred_max,top_pred_mean,top_p30,top_r30,top_f1_30,top_sig30,top_p50,top_r50,top_f1_50,top_sig50,bot_high_rank,bot_mae,bot_r2,bot_pred_max,bot_pred_mean,bot_p30,bot_r30,bot_f1_30,bot_sig30,bot_p50,bot_r50,bot_f1_50,bot_sig50,n_feat,experiment,depth,n_est,alpha,lambda,min_child,weighted
0,15.005303327746633,0,83.26067821107502,14.178251424997338,0.0,0.0,0.0,192,0.0,0.0,0.0,118,0.24404761904761904,7.762849286602747,-0.3926175089279167,43.87281228156813,2.258320714638404,0.0,0.0,0.0,25,0.0,0.0,0.0,0,5.0,feature_count,,,,,,
0,15.459584346004378,0,82.58304899790934,14.275917694402482,0.0,0.0,0.0,189,0.0,0.0,0.0,105,0.19345238095238096,8.139422559964457,-0.5489851324911099,52.544433761559766,3.6020300224432957,0.044444444444444446,0.125,0.065573770453104,45,0.0,0.0,0.0,6,10.0,feature_count,,,,,,
0,15.933610356373109,0,84.31580235945046,15.39430150636149,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.10515873015873016,12.62104280903785,-1.311035539344974,68.0313089457727,8.522942058403023,0.005681818181818182,0.125,0.010869565209073725,176,0.0,0.0,0.0,12,15.0,feature_count,,,,,,
0,15.638775305932192,0,83.42400012906886,15.143434299902832,0.0,0.0,0.0,194,0.0,0.0,0.0,133,0.10317460317460317,12.212340910074047,-1.2235332082191674,57.26466432694347,8.156118447224532,0.011363636363636364,0.125,0.020833333318055557,176,0.0,0.0,0.0,12,20.0,feature_count,,,,,,
0,16.52273758881337,0,85.23016854913669,15.741877347895896,0.0,0.0,0.0,228,0.0,0.0,0.0,108,0.10813492063492064,11.583151122136401,-1.0663283159523989,52.82970245131957,7.494971102604874,0.00641025641025641,0.125,0.01219512194193932,156,0.0,0.0,0.0,11,30.0,feature_count,,,,,,
0,14.088091756625671,0,75.50499480852375,13.341598944833112,0.0,0.0,0.0,205,0.0,0.0,0.0,61,0.16666666666666666,10.932130338869106,-0.9609371103256195,64.09782394052044,6.38212295595262,0.0,0.0,0.0,64,0.0,0.0,0.0,17,63.0,feature_count,,,,,,
0,15.55527593900747,0,86.98226272903473,14.87802159972621,0.0,0.0,0.0,187,0.0,0.0,0.0,135,0.13293650793650794,12.62708413549476,-1.2818801829199002,69.27434898040927,8.13503850340636,0.005847953216374269,0.125,0.011173184349002838,171,0.0,0.0,0.0,12,,depth,2.0,,,,,
0,15.933610356373109,0,84.31580235945046,15.39430150636149,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.10515873015873016,12.62104280903785,-1.311035539344974,68.0313089457727,8.522942058403023,0.005681818181818182,0.125,0.010869565209073725,176,0.0,0.0,0.0,12,,depth,3.0,,,,,
0,15.703171322900852,0,83.95175119549965,15.123158171894724,0.0,0.0,0.0,189,0.0,0.0,0.0,141,0.08432539682539683,12.497615417462423,-1.2941746932870295,64.54950355622482,8.529544624410054,0.006329113924050633,0.125,0.012048192761910291,158,0.0,0.0,0.0,12,,depth,4.0,,,,,
0,15.69632444304297,0,84.68907174127321,15.117599628767108,0.0,0.0,0.0,189,0.0,0.0,0.0,139,0.07341269841269842,12.513854365092643,-1.296072872106666,64.19483630854802,8.589598620210442,0.005917159763313609,0.125,0.011299435019617606,169,0.0,0.0,0.0,12,,depth,5.0,,,,,
0,15.69632444304297,0,84.68907174127321,15.117599628767108,0.0,0.0,0.0,189,0.0,0.0,0.0,139,0.07341269841269842,12.513854365092643,-1.296072872106666,64.19483630854802,8.589598620210442,0.005917159763313609,0.125,0.011299435019617606,169,0.0,0.0,0.0,12,,depth,6.0,,,,,
0,14.562329340078028,0,53.4362875824302,14.562329340078028,0.0,0.0,0.0,193,0.0,0.0,0.0,73,0.0,14.003183015945282,-1.2413228594035526,47.657795116861436,10.494328494594134,0.0,0.0,0.0,87,0.0,0.0,0.0,0,,n_estimators,,20.0,,,,
0,15.410653819060217,0,70.53201824511174,15.294412380531366,0.0,0.0,0.0,192,0.0,0.0,0.0,96,0.0882936507936508,13.805549068034306,-1.588577059117199,62.8881372555977,10.111379247807674,0.005319148936170213,0.125,0.010204081624822989,188,0.0,0.0,0.0,14,,n_estimators,,50.0,,,,
0,15.933610356373109,0,84.31580235945046,15.39430150636149,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.10515873015873016,12.62104280903785,-1.311035539344974,68.03130894577268,8.522942058403022,0.005681818181818182,0.125,0.010869565209073725,176,0.0,0.0,0.0,12,,n_estimators,,100.0,,,,
0,15.927614038633813,0,91.73413132026941,15.030494236569817,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.11805555555555555,11.749865764485628,-1.1039417936356144,66.945155908714,7.505612787109305,0.010416666666666666,0.125,0.019230769216568046,96,0.0,0.0,0.0,15,,n_estimators,,200.0,,,,
0,15.607795445389055,0,88.65275135255843,14.79160226045101,0.0,0.0,0.0,185,0.0,0.0,0.0,124,0.0992063492063492,10.443733929042223,-0.8129859330662681,64.60818934252787,6.334946122546911,0.03333333333333333,0.125,0.052631578914127425,30,0.0,0.0,0.0,18,,n_estimators,,500.0,,,,
0,15.818021747306645,0,84.52059310475322,15.19992258638588,0.0,0.0,0.0,191,0.0,0.0,0.0,144,0.11210317460317461,12.33657543475935,-1.2432111907919436,65.15508215682313,8.205515057138388,0.005952380952380952,0.125,0.011363636354958675,168,0.0,0.0,0.0,12,,regularization,,,0.1,1.0,,
0,15.933610356373109,0,84.31580235945046,15.39430150636149,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.10515873015873016,12.62104280903785,-1.311035539344974,68.0313089457727,8.522942058403023,0.005681818181818182,0.125,0.010869565209073725,176,0.0,0.0,0.0,12,,regularization,,,1.0,5.0,,
0,15.737361068155382,0,83.8708075804128,15.183429026552709,0.0,0.0,0.0,191,0.0,0.0,0.0,146,0.10813492063492064,12.551919830325868,-1.2792194360002287,67.66171619802726,8.327307140897368,0.0058823529411764705,0.125,0.011235955047595,170,0.0,0.0,0.0,12,,regularization,,,5.0,10.0,,
0,15.596437602866713,0,82.49725215092846,15.100863481669498,0.0,0.0,0.0,197,0.0,0.0,0.0,137,0.11210317460317461,12.67743442267149,-1.3162685305985922,69.00851764104445,8.42107808070022,0.006289308176100629,0.125,0.01197604789506974,159,0.0,0.0,0.0,12,,regularization,,,10.0,50.0,,
0,15.371963961753496,0,81.499439516515,14.901856044426369,0.0,0.0,0.0,189,0.0,0.0,0.0,128,0.10714285714285714,13.25895063311068,-1.435539182835989,66.60730800574063,9.09390471052373,0.005319148936170213,0.125,0.010204081624822989,188,0.0,0.0,0.0,12,,regularization,,,50.0,100.0,,
0,14.573119599887796,0,96.07158865676124,14.421582708967074,0.0,0.0,0.0,194,0.0,0.0,0.0,125,0.11210317460317461,11.228788130732768,-1.0325338931070376,77.16776981121208,7.54825598077875,0.0,0.0,0.0,61,0.0,0.0,0.0,26,,min_child,,,,,20.0,
0,15.531043052905684,0,98.4711068958815,14.913610480685946,0.0,0.0,0.0,197,0.0,0.0,0.0,137,0.1130952380952381,11.902576388570258,-1.2156289758620078,68.7081129010471,8.039379108295206,0.006134969325153374,0.125,0.011695906423829554,163,0.0,0.0,0.0,18,,min_child,,,,,50.0,
0,15.933610356373109,0,84.31580235945046,15.39430150636149,0.0,0.0,0.0,191,0.0,0.0,0.0,145,0.10515873015873016,12.62104280903785,-1.311035539344974,68.0313089457727,8.522942058403023,0.005681818181818182,0.125,0.010869565209073725,176,0.0,0.0,0.0,12,,min_child,,,,,100.0,
