,0
Trend_20d,0.05867112449453975
Dist_MA20,0.04966538668332781
BB_pctB,0.04605159589028192
Mom_20d,0.04178365362012738
MA20_slope_5d,0.040964977399047316
MA20_slope_10d,0.02863709197864499
Mom_10d,0.027995434921167635
Dist_MA60,0.027081980257645466
Dist_from_60d_low,0.02621230797683463
RSI,0.025667842595756538
Williams_R,0.025293013438878905
Dist_MA200_change_20d,0.022984753570070945
LQD_TLT_change_10d,0.022121462947764473
HYG_TLT_change_10d,0.021672072306599587
LQD_TLT_change_5d,0.01708508034402474
DD_depth_change_10d,0.016935398641479766
Dist_from_60d_high,0.016832460701236167
MA10_slope_5d,0.01545112803643905
MA20_cross_MA200_change_10d,0.013391176760565577
MA10_slope_10d,0.01327607238041916
LQD_TLT_change_20d,0.0132573524736779
PE_change_120d,0.012712702073722323
MA5_slope_10d,0.01093111507128747
LQD_TLT_zscore,0.01049767238225056
PE_rank_252,0.010342474046958705
HYG_TLT_change_5d,0.010175970220687081
Dist_MA200,0.009393957808399724
Mom_5d,0.009311193889909109
Dist_MA60_change_10d,0.009224072258460666
HYG_TLT_zscore,0.00920581719613745
Mom_20d_zscore,0.009141393202526086
HYG_TLT_change_20d,0.008382709667558537
CAPE_rank_252,0.008170332076059696
MA5_slope_5d,0.007991202664822894
SKEW,0.00793838392959111
CAPE_change_20d,0.007840375801965256
PE_zscore_252,0.007753312688623091
DD_depth_change_5d,0.007657488387316299
PE_change_20d,0.007495086711981068
Max_dd_20d,0.0064158077237225644
HYG_TLT_Ratio,0.006385663613226856
SP500_PE,0.006298573676435493
Shiller_CAPE,0.006074812494321207
MA20_cross_MA200,0.005832005158959288
VIX,0.005723328337154947
CAPE_change_120d,0.005713075170512901
ATR_Pct_change_5d,0.00560417014960817
ATR_vs_VIX_change_5d,0.005559509659303349
LQD_TLT_Ratio,0.005208207237445379
Dist_MA200_change_5d,0.005186057843891121
VIX_VVIX_Ratio,0.0049661913661085445
MA20_cross_MA60,0.00473476640722096
MA200_slope_60d,0.0042293709938369855
MA200_slope_20d,0.004141023100849407
SKEW_Dist_MA20,0.00395488744227376
Vol_w_MACD,0.003719140419605242
PE_change_60d,0.003709442696443415
MA60_slope_20d,0.003654963168886325
MACD_Hist,0.003622326399624343
Volatility_regime,0.0036203679036778194
ATR_Pct_change_10d,0.003549409703989461
DD_depth,0.0035311554513458446
Spread_10Y_2Y,0.003390465127774517
RSI_oversold,0.0033680699067137588
High_low_range_5d,0.0033358049633090965
CAPE_zscore_252,0.00327957781117734
BB_width_change_10d,0.003268107604058459
Mom_5d_vs_20d,0.00321420398783278
Days_since_60d_high,0.00320964040957317
Gap_abs_5d,0.0031727509719101155
CAPE_change_60d,0.00315930646770907
VVIX,0.0031559985244198367
MA60_slope_10d,0.00308938731140207
MACD_Hist_change_3d,0.003003364318411744
RSI_extreme,0.0027591645381963106
RSI_rank_60d,0.002745632867798865
SKEW_change_20d,0.002727284792024094
Dist_MA20_change_5d,0.002617806985299465
SKEW_rank_60d,0.0025154911012835782
ATR_vs_VIX,0.0024962357834845653
VIX_zscore_60d,0.0024826964909621567
VIX_Volatility_ratio,0.0024293982733258395
ATR_Pct,0.002426173393384996
VIX3M_change_10d,0.002404167884842251
Return_kurtosis_20d,0.002370796640574058
VIX_rank_60d,0.002366541040326497
Return_1d,0.0023460835648432088
MACD_Hist_change_5d,0.00233304457100326
Mom_accel_10d,0.0022823690755523476
VIX3M_VIX_Ratio,0.0022791359033341365
VIX_corr_20d,0.0021909939918388953
VVIX_change_10d,0.002164153916372582
Close_above_MA60,0.0021407195812175065
BB_pctB_change_5d,0.002137186947884697
SKEW_change_10d,0.0021233956728683055
VIX9D_VIX3M_Ratio,0.0020969537202071968
VIX9D_change_10d,0.0020763471549528714
VIX3M_VIX9D_Spread,0.0020642597152255755
OBV_change_5d,0.002037955815390619
Williams_R_change_5d,0.0020044957002735043
Volatility_20d,0.001958681398197665
OBV_change_10d,0.0019242990649018744
Vol_Ratio,0.0018957653352511456
Volatility_20d_change_10d,0.0018632090356615208
VIX_change_10d,0.0017413501369801577
VVIX_change_5d,0.001704640931129223
VIX_spike,0.0016561840040159874
RSI_change_10d,0.0015915726346751812
BB_width,0.0015557526289550086
VIX_corr_20d_change_5d,0.0014856174600952309
Spread_10Y2Y_change_20d,0.0014852417962570568
Vol_surge,0.0014388061052607987
Return_skew_20d,0.001434114001622444
Mom_accel_20d_10d,0.0014142747787498206
Std_5d,0.001413179702266615
VIX3M_change_5d,0.0013994312380852642
VIX_change_3d,0.0013883050914235886
Trend_20d_change_5d,0.001334954006785559
VIX3M_VIX9D_Spread_change_5d,0.0012414956422685485
VIX9D_VIX_Ratio,0.0011928440555139955
VIX_change_5d,0.0011744551763602435
Lower_shadow_pct,0.0011488377682514462
Intraday_range,0.0011427310247710152
Spread_10Y2Y_change_10d,0.0011399782612410458
Std_5d_change,0.001137333963254423
VIX_change_20d,0.001117339384034864
VIX_VVIX_Ratio_change_10d,0.0010978591761795808
RSI_change_5d,0.0010188924079831971
VIX3M_VIX_Ratio_change_5d,0.0009983536746552076
RSI_change_3d,0.0009727609226598383
VIX9D_VIX_Ratio_change_5d,0.0009673115866775105
Mom_accel_5d,0.0009487335024984921
VIX_VVIX_Ratio_change_5d,0.00092455313587341
Volatility_20d_change_5d,0.000922537297818724
Close_above_MA20,0.000874323012598308
Spread_10Y2Y_change_5d,0.0008018349404165656
SKEW_change_5d,0.0007870469273988749
VIX9D_change_5d,0.0007855905659631434
Vol_Ratio_change_5d,0.0006830607093517806
VIX_change_1d,0.0006732407952450484
Intraday_range_change_5d,0.0006552077700888751
Mom_accel_20d_5d,0.0005654912255995655
Close_above_MA200,0.0005380675414397193
VVIX_change_1d,0.0004707640753594697
Upper_shadow_pct,0.00046140750277916747
Price_streak,0.0004546319194671314
Gap_pct,0.0003796152072303542
Spread_Inverted,8.478605006836619e-05
Spread_deeply_inverted,4.713274828779043e-05
MACD_signal_cross,6.629667091135115e-06
RSI_overbought,1.93461632843334e-06
SKEW_extreme,1.7922529411433197e-06
Volume_surge,0.0
