Date,HYG,LQD,TLT,HYG_TLT_Ratio
2011-06-09,39.378475189208984,65.05001068115234,63.44161605834961,0.620704162910843
2011-06-10,39.120967864990234,64.97364807128906,63.92856979370117,0.611948116330999
2011-06-13,38.97258377075195,65.04414367675781,63.60613250732422,0.6127173942899967
2011-06-14,39.217018127441406,64.85032653808594,62.64532470703125,0.6260166789915246
2011-06-15,39.0511589050293,65.20857238769531,63.78390884399414,0.6122415451292358
2011-06-16,38.3571662902832,65.08523559570312,64.07343292236328,0.598643845675632
2011-06-17,38.78056716918945,65.10873413085938,63.770652770996094,0.6081256108268578
2011-06-20,39.0511589050293,65.1204605102539,63.84963607788086,0.6116112996696877
2011-06-21,39.31303405761719,65.10282897949219,63.56661605834961,0.6184540958029074
2011-06-22,39.029327392578125,65.19096374511719,63.60613250732422,0.6136095035818113
2011-06-23,39.238834381103516,65.3612289428711,64.09315490722656,0.612215679473118
2011-06-24,39.0511589050293,65.39643096923828,63.82333755493164,0.6118633152241316
2011-06-27,39.04241943359375,65.18506622314453,62.94807052612305,0.6202321867417905
2011-06-28,39.19953918457031,64.7327880859375,62.44131851196289,0.6277820539145121
2011-06-29,39.588035583496094,64.58604431152344,62.026702880859375,0.6382418175529436
2011-06-30,39.8542594909668,64.68000793457031,61.92797088623047,0.6435582971737298
2011-07-01,40.066009521484375,64.68350219726562,61.82890319824219,0.6480142368532823
2011-07-05,40.11870574951172,64.9134292602539,61.967567443847656,0.6474145654638706
2011-07-06,40.13627624511719,65.04907989501953,62.28453063964844,0.6444020021171623
2011-07-07,40.29441833496094,65.06673431396484,62.09965896606445,0.6488669826187063
2011-07-08,40.18459701538086,65.48538208007812,62.97798156738281,0.6380737523698764
2011-07-11,39.789241790771484,65.70349884033203,63.9222526550293,0.6224630725312984
2011-07-12,39.679420471191406,65.75656127929688,64.14019012451172,0.6186358411810753
2011-07-13,39.9869384765625,65.92167663574219,64.31845092773438,0.6217024492939082
2011-07-14,39.964962005615234,65.51483917236328,63.40058898925781,0.6303563207021096
2011-07-15,39.95175552368164,65.6622314453125,63.50624465942383,0.6290996379637622
2011-07-18,39.88151168823242,65.40870666503906,62.892093658447266,0.6341259984890929
2011-07-19,40.06160354614258,65.72711181640625,64.19957733154297,0.6240166245839012
2011-07-20,40.09672546386719,65.57378387451172,63.440189361572266,0.6320398136792927
2011-07-21,40.2900505065918,65.47357177734375,62.95152282714844,0.6400170908846756
2011-07-22,40.34274673461914,65.73890686035156,63.42695236206055,0.6360505310791277
2011-07-25,40.127479553222656,65.4263687133789,62.73357009887695,0.6396492259244307
2011-07-26,40.21097183227539,65.71530151367188,63.16282653808594,0.6366240087122917
2011-07-27,39.8946647644043,65.52075958251953,63.16945266723633,0.6315499514387306
2011-07-28,39.95618438720703,65.6622314453125,63.407161712646484,0.630152545989735
2011-07-29,39.99571228027344,66.25180053710938,64.66185760498047,0.6185363947415089
2011-08-01,40.084564208984375,66.44767761230469,65.31446838378906,0.6137164582500574
2011-08-02,39.58954620361328,67.0040054321289,67.27558898925781,0.5884682215109959
2011-08-03,39.567440032958984,66.98028564453125,67.40806579589844,0.5869837617468997
2011-08-04,38.427242279052734,67.46561431884766,69.8065414428711,0.5504819675173446
2011-08-05,38.38747787475586,66.63115692138672,67.79241180419922,0.5662503642093177
2011-08-08,36.75228500366211,65.99796295166016,69.93242645263672,0.5255399657632844
2011-08-09,37.87480163574219,66.58975219726562,70.14449310302734,0.5399540286093758
2011-08-10,37.233985900878906,67.18746948242188,72.23148345947266,0.5154813956128977
2011-08-11,37.91015625,65.8085708618164,68.58747100830078,0.5527271335811745
2011-08-12,37.733375549316406,66.56014251708984,69.94568634033203,0.5394667995066711
2011-08-15,38.34769058227539,66.68441009521484,69.23678588867188,0.5538629514653658
2011-08-16,38.10464096069336,66.92706298828125,70.38298034667969,0.5413899890712847
2011-08-17,38.52450180053711,67.11051940917969,71.61530303955078,0.5379367281216598
2011-08-18,38.05602264404297,67.1993179321289,73.0862045288086,0.5207004918286914
2011-08-19,37.72454833984375,67.11644744873047,73.67584991455078,0.5120341113620903
2011-08-22,37.768741607666016,66.86788177490234,73.4903335571289,0.5139280199117054
2011-08-23,38.05159378051758,66.10448455810547,72.47665405273438,0.5250186322457856
2011-08-24,37.87923049926758,65.3232192993164,70.41612243652344,0.537934058118775
2011-08-25,37.57428741455078,65.68429565429688,71.17803192138672,0.5278916317333707
2011-08-26,37.95438003540039,65.71388244628906,71.88037109375,0.528021481495948
2011-08-29,38.3388671875,65.92689514160156,70.88648223876953,0.5408487764756303
2011-08-30,38.40955352783203,66.27611541748047,72.02610778808594,0.5332726522005049
2011-08-31,38.904537200927734,66.4772720336914,70.91300201416016,0.5486234695459535
2011-09-01,38.879207611083984,66.52659606933594,72.41625213623047,0.5368851116175396
2011-09-02,38.69683074951172,66.93643188476562,74.76873779296875,0.5175536178858802
2011-09-06,38.238704681396484,67.3284912109375,75.54627990722656,0.5061626426655943
2011-09-07,38.425498962402344,67.45916748046875,74.10421752929688,0.5185332258209318
2011-09-08,38.545623779296875,67.39974212646484,74.76873779296875,0.5155312891067917
2011-09-09,38.198665618896484,67.4710464477539,75.56620788574219,0.5054993056771319
2011-09-12,37.8695068359375,67.06118774414062,75.64596557617188,0.5006150235177409
2011-09-13,38.158626556396484,67.04928588867188,74.56938934326172,0.5117197135776813
2011-09-14,38.412193298339844,67.01959991455078,75.20072174072266,0.510795540377625
2011-09-15,38.67012023925781,66.78791809082031,74.05104064941406,0.5222090047638486
2011-09-16,38.64789581298828,66.78791809082031,74.58929443359375,0.5181426651970303
2011-09-19,38.5900764465332,67.1562271118164,76.0114974975586,0.5076873593731352
2011-09-20,38.65235900878906,67.18595123291016,76.33045196533203,0.5063818962626383
2011-09-21,38.31874465942383,67.34036254882812,78.85576629638672,0.48593459247354553
2011-09-22,37.79834747314453,67.4710464477539,81.81964111328125,0.46197156280375046
2011-09-23,37.900630950927734,67.05523681640625,80.29785919189453,0.47200051573421675
2011-09-26,38.04298782348633,66.93050384521484,79.00859069824219,0.48150444764651046
2011-09-27,38.087467193603516,66.7166519165039,77.79910278320312,0.4895617793914536
2011-09-28,37.66048049926758,66.44937896728516,77.77249145507812,0.48423909012893723
2011-09-29,37.589324951171875,66.37808227539062,78.31083679199219,0.48000157438000507
2011-09-30,36.84206008911133,66.71072387695312,80.27787780761719,0.458931664553987
2011-10-03,36.39794158935547,66.8347396850586,82.48711395263672,0.4412560925607702
2011-10-04,36.28600311279297,66.25044250488281,81.44114685058594,0.4455487737588497
2011-10-05,36.729270935058594,66.52471923828125,80.85486602783203,0.4542617252301867
2011-10-06,37.297813415527344,66.25645446777344,79.36245727539062,0.4699679759927615
2011-10-07,37.32912826538086,66.19680786132812,78.77617645263672,0.4738631645548902
2011-10-10,38.130516052246094,66.32200622558594,77.66356658935547,0.49097044762134634
2011-10-11,37.70967102050781,66.50088500976562,77.40373229980469,0.4871815595977788
2011-10-12,38.58719253540039,66.60220336914062,76.27782440185547,0.5058769417978018
2011-10-13,38.4260139465332,66.661865234375,77.03734588623047,0.49879721977028035
2011-10-14,38.69462585449219,66.6200942993164,75.91799926757812,0.5096897471982943
2011-10-17,38.470787048339844,66.5723876953125,77.23050689697266,0.4981294127676877
2011-10-18,38.67670440673828,66.80490112304688,76.75080108642578,0.5039257422627564
2011-10-19,38.551368713378906,66.97779083251953,76.72417449951172,0.5024670381253076
2011-10-20,38.891605377197266,67.1268539428711,76.1778793334961,0.5105367295266289
2011-10-21,39.36168670654297,67.34748077392578,75.3717041015625,0.5222342678295233
2011-10-24,40.42722702026367,67.69329071044922,75.49830627441406,0.5354719730178136
2011-10-25,39.710906982421875,68.02713012695312,77.41707611083984,0.5129476464025435
2011-10-26,39.88102722167969,67.97946166992188,76.0645980834961,0.5243047123959335
2011-10-27,40.46751403808594,67.967529296875,73.48625946044922,0.5506813700303499
2011-10-28,40.34663391113281,68.22989654541016,74.25908660888672,0.5433225178708898
2011-10-31,39.970584869384766,68.38484954833984,77.203857421875,0.5177278209166201
2011-11-01,39.2572135925293,68.72708892822266,79.78820037841797,0.49201778466415996
2011-11-02,39.63100051879883,68.97838592529297,78.7929916381836,0.5029762126660182
2011-11-03,40.02280807495117,69.01431274414062,77.71089172363281,0.515021860993261
2011-11-04,39.98226547241211,69.15191650390625,77.80436706542969,0.5138820220565379
2011-11-07,39.84715270996094,68.87671661376953,78.29866790771484,0.5089122685576973
2011-11-08,39.93723678588867,68.45187377929688,77.29667663574219,0.5166746944903138
2011-11-09,39.0905876159668,68.27241516113281,78.8997802734375,0.4954460897165145
2011-11-10,39.1311149597168,67.93136596679688,77.7242660522461,0.5034607201490064
2011-11-11,39.64904022216797,67.81169128417969,77.24996185302734,0.5132564375578933
2011-11-14,39.38331985473633,67.80570983886719,78.49238586425781,0.5017470092302273
2011-11-15,39.27973556518555,67.73993682861328,78.38549041748047,0.5011097762606574
2011-11-16,38.89693832397461,67.52447509765625,79.10018157958984,0.49174271850231954
2011-11-17,38.70777130126953,66.99200439453125,79.73480224609375,0.4854564156540044
2011-11-18,38.68075180053711,67.0997543334961,79.71472930908203,0.48523970583351334
2011-11-21,38.24391555786133,66.82450866699219,80.1889419555664,0.4769225609567552
2011-11-22,37.951175689697266,66.65098571777344,81.08406829833984,0.4680472562138856
2011-11-23,37.266639709472656,66.30998229980469,81.87889862060547,0.45514339270917126
2011-11-25,37.266639709472656,66.04672241210938,80.68998718261719,0.4618496174145
2011-11-28,38.099788665771484,66.07664489746094,80.64994812011719,0.47240933880114844
2011-11-29,38.347503662109375,65.92700958251953,79.98861694335938,0.47941201045223186
2011-11-30,39.000511169433594,66.2262191772461,78.73954010009766,0.4953103754461124
2011-12-01,39.172279357910156,66.37987518310547,78.34441375732422,0.5000009251361338
2011-12-02,39.39435958862305,66.94425964355469,79.44261932373047,0.49588444998383224
2011-12-05,39.61644744873047,67.44261169433594,79.2818832397461,0.4996910495797822
2011-12-06,39.793209075927734,67.0823974609375,78.52523040771484,0.5067569858670314
2011-12-07,39.666290283203125,67.50263214111328,78.80644226074219,0.5033381681152618
2011-12-08,39.407955169677734,67.27445983886719,79.79080963134766,0.4938909048767869
2011-12-09,39.74787521362305,67.01631164550781,78.15027618408203,0.5086082500847138
2011-12-12,39.53484344482422,67.02235412597656,79.02071380615234,0.5003098749754161
2011-12-13,39.385311126708984,67.25048065185547,79.75729370117188,0.4938145378186308
2011-12-14,39.317325592041016,67.3645248413086,81.2639389038086,0.48382254321416274
2011-12-15,39.45782470703125,67.47261810302734,80.96261596679688,0.4873585695799785
2011-12-16,39.64363479614258,67.85091400146484,81.90676879882812,0.48400926294030266
2011-12-19,39.59378433227539,68.09102630615234,82.94470977783203,0.47735153258511137
2011-12-20,40.08781433105469,68.0429916381836,80.87554931640625,0.4956728537845313
