,0
Max_dd_20d,701
SKEW,643
MA20_cross_MA60,576
Days_since_60d_high,539
VIX_VVIX_Ratio,530
CAPE_change_60d,521
Shiller_CAPE,514
MA200_slope_60d,506
Upper_shadow_pct,483
Intraday_range_change_5d,479
VIX_Volatility_ratio,471
CAPE_change_20d,460
VIX3M_VIX_Ratio,457
MA60_slope_10d,450
VIX_change_20d,445
VVIX_change_5d,445
PE_change_120d,439
Volatility_20d,437
LQD_TLT_change_20d,436
VVIX_change_10d,436
LQD_TLT_zscore,432
Volatility_regime,421
VIX_zscore_60d,409
VIX_change_3d,408
VVIX,408
MA200_slope_20d,405
SKEW_change_20d,402
PE_change_60d,394
Spread_10Y_2Y,390
OBV_change_10d,385
LQD_TLT_change_10d,379
VIX_VVIX_Ratio_change_5d,376
Spread_10Y2Y_change_20d,368
SKEW_rank_60d,367
SP500_PE,361
HYG_TLT_change_20d,357
OBV_change_5d,352
Spread_10Y2Y_change_10d,350
VIX_corr_20d_change_5d,348
VIX_VVIX_Ratio_change_10d,347
Volatility_20d_change_10d,345
MA60_slope_20d,339
Intraday_range,339
VIX3M_VIX9D_Spread,330
CAPE_change_120d,329
VIX,329
HYG_TLT_change_10d,322
VIX9D_VIX3M_Ratio,320
VIX_corr_20d,316
Return_kurtosis_20d,312
VIX9D_VIX_Ratio,300
SKEW_change_5d,294
HYG_TLT_Ratio,290
SKEW_change_10d,278
Return_skew_20d,269
PE_change_20d,266
SKEW_Dist_MA20,259
LQD_TLT_Ratio,252
DD_depth_change_10d,240
CAPE_rank_252,226
PE_rank_252,196
PE_zscore_252,194
CAPE_zscore_252,189
