peak_date,trough_date,dd_pct,peak_price,trough_price
2011-07-07,2011-10-03,18.68755266578648,2872.659912109375,2335.830078125
2012-03-26,2012-06-01,12.012223254535344,3122.570068359375,2747.47998046875
2012-09-14,2012-11-15,10.898726898577836,3183.949951171875,2836.93994140625
2015-07-20,2016-02-11,18.24191575308341,5218.85986328125,4266.83984375
2018-08-29,2018-12-24,23.6355524487398,8109.68994140625,6192.919921875
2019-05-03,2019-06-03,10.17858868776029,8164.0,7333.02001953125
2020-02-19,2020-03-23,30.115673337317634,9817.1796875,6860.669921875
2020-09-02,2020-09-23,11.806554377421625,12056.4404296875,10632.990234375
2021-02-12,2021-03-08,10.544590560977142,14095.4697265625,12609.16015625
2021-11-19,2022-12-28,36.395279909120205,16057.4404296875,10213.2900390625
2024-07-10,2024-08-07,13.147319076607957,18647.44921875,16195.8095703125
2024-12-16,2025-04-08,24.31846469252879,20173.890625,15267.91015625
2025-10-29,2026-03-30,13.205475914254947,23958.470703125,20794.640625
