,0
CAPE_change_20d,829
VIX_VVIX_Ratio,683
Return_skew_20d,589
Volatility_regime,559
Shiller_CAPE,557
CAPE_zscore_252,523
Volatility_20d_change_10d,522
CAPE_change_60d,514
OBV_change_10d,513
Spread_10Y_2Y,509
DD_depth_change_10d,494
PE_change_20d,492
VIX_corr_20d_change_5d,481
Return_kurtosis_20d,478
SKEW,474
PE_change_120d,471
VIX_corr_20d,463
VIX9D_VIX_Ratio,453
CAPE_change_120d,441
Spread_10Y2Y_change_20d,431
VIX_zscore_60d,428
LQD_TLT_change_20d,417
Max_dd_20d,413
VVIX,412
MA200_slope_20d,409
VIX3M_VIX_Ratio,409
VIX_change_20d,403
VIX3M_VIX9D_Spread,398
VIX_VVIX_Ratio_change_10d,396
LQD_TLT_zscore,394
Days_since_60d_high,393
SKEW_change_10d,392
SP500_PE,384
VIX,384
Intraday_range_change_5d,372
HYG_TLT_change_20d,370
VIX9D_VIX3M_Ratio,368
VIX_VVIX_Ratio_change_5d,363
LQD_TLT_change_10d,363
VIX_Volatility_ratio,358
OBV_change_5d,357
MA200_slope_60d,356
MA60_slope_10d,349
MA20_cross_MA60,347
Volatility_20d,340
Intraday_range,330
Spread_10Y2Y_change_10d,330
PE_zscore_252,330
PE_change_60d,326
HYG_TLT_change_10d,323
HYG_TLT_Ratio,320
Upper_shadow_pct,318
CAPE_rank_252,316
SKEW_change_5d,312
VIX_change_3d,311
SKEW_change_20d,304
VVIX_change_10d,303
PE_rank_252,294
VVIX_change_5d,286
MA60_slope_20d,281
SKEW_Dist_MA20,274
LQD_TLT_Ratio,242
SKEW_rank_60d,234
