date,PE,CAPE,Div_Yield,Rate_GS10,CPI
2011-01-01,16.30380068641159,22.978299430554983,1.7903458026019659,3.39,220.223
2011-02-01,16.516064508063504,23.489828703298535,1.7558334342578017,3.58,221.309
2011-03-01,16.043414094207353,22.89933643014364,1.7961042246395145,3.41,223.467
2011-04-01,16.205647287922428,23.14392944728595,1.7824374832583558,3.46,224.906
2011-05-01,16.120979722947197,23.05949150609534,1.7960462573444618,3.17,225.964
2011-06-01,15.348634791939906,22.10083128661099,1.8907938382182725,3.0,225.722
2011-07-01,15.607608354271358,22.610981701156625,1.8578467993268888,3.0,225.922
2011-08-01,13.791762013729976,20.049852721660496,2.100716268317993,2.3,226.545
2011-09-01,13.495976086456658,19.69811456887771,2.1450233413977577,1.98,226.889
2011-10-01,13.880878463838105,20.155824786688747,2.120298426688314,2.15,226.421
2011-11-01,14.103265869365226,20.34524679764582,2.121078695172399,2.01,226.23
2011-12-01,14.299252443933295,20.523575499431697,2.1257600617701,1.98,225.672
2012-01-01,14.867169638774575,21.213008091803452,2.0557494861267025,1.97,226.665
2012-02-01,15.367458243381433,21.79743596371753,1.9995218695393928,1.97,227.663
2012-03-01,15.69053535125367,22.053943972904708,1.9687023120555123,2.17,229.392
2012-04-01,15.69543396226415,21.779246906824888,1.996013742730129,2.05,230.085
2012-05-01,15.219797261517513,20.941467419743475,2.0873251967662485,1.8,229.815
2012-06-01,15.053230209281164,20.547504086856083,2.1398132196935356,1.62,229.478
2012-07-01,15.549820843180603,20.999341293380557,2.1138223340050106,1.53,229.104
2012-08-01,16.13655526598191,21.410428453442933,2.0782120251285523,1.68,230.379
2012-09-01,16.68693641618497,21.783690301727678,2.049992379210486,1.72,231.407
2012-10-01,16.621556009402337,21.577109654528787,2.0964608458175107,1.75,231.317
2012-11-01,16.12026048088779,20.898162059573696,2.201251096561994,1.65,230.221
2012-12-01,16.44075829383886,21.23826113984562,2.1971609165500707,1.72,229.601
2013-01-01,17.034366370052165,21.900475413821813,2.1302801044762676,1.91,230.28
2013-02-01,17.3224771868199,22.05272433686195,2.104286378674566,1.98,232.166
2013-03-01,17.68335233751425,22.419207114602578,2.0705041816317715,1.96,232.773
2013-04-01,17.69138351792754,22.59565539610559,2.0689289276543366,1.76,232.531
2013-05-01,18.24747774480712,23.41184178184241,2.005276937587407,1.93,232.945
2013-06-01,17.79846069268829,22.925333173915337,2.05526418206416,2.3,233.504
2013-07-01,18.12009990226952,23.492460177159643,2.0163642320077346,2.58,233.596
2013-08-01,17.913654403089133,23.3566490949161,2.0372155592413184,2.74,233.877
2013-09-01,17.878245205043974,23.442287167960608,2.0389172401121405,2.81,234.149
2013-10-01,17.858690385547174,23.834737887631437,2.011399025985981,2.62,233.546
2013-11-01,18.15184720290396,24.642077092412066,1.9508019631369826,2.72,233.069
2013-12-01,18.041716566866267,24.861869296461947,1.9355231278142253,2.9,233.049
2014-01-01,18.147983402489626,24.859609093632724,1.9427189651514156,2.86,233.916
2014-02-01,18.05604504802915,24.59093087789414,1.9711545517251499,2.71,234.781
2014-03-01,18.478135845314824,24.95603915396539,1.944170172576629,2.72,236.293
2014-04-01,18.34781182337117,24.78631539696264,1.9639606778739729,2.71,237.072
2014-05-01,18.461395682047606,24.943274109902593,1.9577338335705758,2.56,237.9
2014-06-01,18.88178820791311,25.558007623511294,1.9197879913101092,2.6,238.343
2014-07-01,18.959961563100578,25.817545976158748,1.9132329836298212,2.54,238.25
2014-08-01,18.678866175723716,25.6176064217994,1.9433809322314728,2.42,237.852
2014-09-01,18.811155152887885,25.918436892606202,1.9310365587513736,2.53,238.031
2014-10-01,18.495401457531106,25.16274828308326,2.003162525960071,2.3,237.433
2014-11-01,19.749211153326033,26.60681714714343,1.913523789028174,2.33,236.151
2014-12-01,20.078877920046917,26.794085482572566,1.919903420679852,2.21,234.812
2015-01-01,20.023496890117485,26.492295420383137,1.9671166595995753,1.88,233.707
2015-02-01,20.76593198364416,26.99551369938325,1.938014279768194,1.98,234.722
2015-03-01,20.957078085642316,26.728605452928488,1.9620286635993447,2.04,236.119
2015-04-01,21.41910636992604,26.791371680192338,1.962899668712945,1.94,236.599
2015-05-01,21.917943750648632,26.806111379650833,1.9617034574845875,2.2,237.805
2015-06-01,22.118744073332632,26.495895292784848,1.9882912794325702,2.36,238.638
2015-07-01,22.39881631488876,26.381136336399692,2.0054373951439097,2.32,238.654
2015-08-01,22.154038301415486,25.693658417057698,2.071373829378016,2.17,238.316
2015-09-01,21.447275534965808,24.496752170486435,2.186267299592164,2.17,237.945
2015-10-01,22.67847675938025,25.491441046066747,2.1139432012550974,2.07,237.838
2015-11-01,23.66851205824359,26.22585189097193,2.0713377102338084,2.26,237.336
2015-12-01,23.738356639315843,25.965424037124176,2.1123812120267953,2.24,236.525
2016-01-01,22.18034682080925,24.206167203878476,2.2700580284235032,2.09,236.916
2016-02-01,22.024054585405345,24.00260677728976,2.2955370489002775,1.78,237.111
2016-03-01,23.391369736233226,25.372298620187912,2.1701822498083536,1.89,238.132
2016-04-01,23.966974595842956,25.922337543673883,2.123463452081547,1.81,239.261
2016-05-01,23.80763024435224,25.694709923449977,2.143093445652086,1.81,240.229
2016-06-01,23.9748044178555,25.84037292767051,2.1335099261477337,1.64,241.018
2016-07-01,24.51869318830107,26.694003256096302,2.077807250221043,1.5,240.628
2016-08-01,24.567521689928324,26.948872433723864,2.0654552154586705,1.56,240.849
2016-09-01,24.21921652261758,26.72787334647854,2.0869541036942283,1.63,241.428
2016-10-01,23.5729842701573,26.525143085070596,2.1116617359302916,1.76,241.729
2016-11-01,23.347244688881695,26.85095353105626,2.1005485783614093,2.14,241.353
2016-12-01,23.761290322580646,27.865098223923525,2.034157827501636,2.49,241.432
2017-01-01,23.585334669477174,28.06357374212446,2.0186481006130084,2.43,242.839
2017-02-01,23.683563175549757,28.655106525184127,1.980906272488351,2.42,243.603
2017-03-01,23.599760693987438,29.086921742464643,1.9595913504195501,2.48,243.801
2017-04-01,23.236802363755746,28.904245956275155,1.9776968689998349,2.3,244.524
2017-05-01,23.3063600687575,29.31334498027143,1.9596301166844095,2.3,244.733
2017-06-01,23.399250144203037,29.748503240632747,1.9400244043730666,2.19,244.955
2017-07-01,23.363480578827115,30.00222074401856,1.9370305475191179,2.32,244.786
2017-08-01,23.158778050160283,29.914959397497487,1.9482511067141113,2.21,245.519
2017-09-01,23.280164363093018,30.168114410678903,1.9323342051635883,2.2,246.819
2017-10-01,23.673003332921862,30.920393290333838,1.8937557032981358,2.36,246.663
2017-11-01,23.80623546689512,31.298913333880268,1.876792064599792,2.35,246.669
2017-12-01,24.247724790680746,32.086132007706,1.8364773264673426,2.4,246.524
2018-01-01,24.968377088305495,33.30734382803066,1.7666738356393528,2.58,247.867
2018-02-01,23.81582345345698,32.03538233925029,1.8351348287470366,2.86,248.991
2018-03-01,23.41276853776854,31.80840905764312,1.8499539361469899,2.84,249.554
2018-04-01,22.529120443740098,30.97017929332522,1.8966472341660292,2.87,250.546
2018-05-01,22.48743063263041,31.243615074864607,1.8752614298035528,2.976,251.588
2018-06-01,22.48816133246244,31.6305564964546,1.851253471781001,2.91,251.989
2018-07-01,22.32828027174637,31.886366962158977,1.8413252960295527,2.89,252.006
2018-08-01,22.36982727130408,32.390276880301116,1.8157196744371582,2.89,252.146
2018-09-01,22.252473349183223,32.622891120500185,1.8038945373082889,3.0,252.439
2018-10-01,21.253859653584964,31.0379610780065,1.8959166529047267,3.15,252.885
2018-11-01,20.673861882227904,30.195583406705246,1.956500185441553,3.12,252.038
2018-12-01,19.39202356673465,28.291857012072875,2.093631076885923,2.83,251.233
2019-01-01,19.596086880276577,28.38016446354758,2.0766615913486923,2.71,251.712
2019-02-01,20.60119151481916,29.541548965131213,1.9798949250899625,2.68,252.776
2019-03-01,20.864498846640377,29.576196014784816,1.9593577700268903,2.57,254.202
2019-04-01,21.560202945180052,30.13351717138751,1.90505859840873,2.53,255.548
2019-05-01,21.149655496011658,29.242030936939845,1.9510977703929793,2.4,256.092
2019-06-01,21.36593479707252,29.283796275306262,1.9402759955911977,2.06,256.143
2019-07-01,22.279250716564814,29.98668533504252,1.8843805680784638,1.63,256.571
2019-08-01,21.67326039208753,28.705397371833072,1.9616609921365384,1.63,256.558
2019-09-01,22.439097065462754,29.22952023303527,1.9187460347480145,1.7,256.759
2019-10-01,22.042194092827003,28.841122881953403,1.933048547862766,1.71,257.346
2019-11-01,22.617311334498833,29.836867659083424,1.86479165462255,1.81,257.208
2019-12-01,22.77729636344392,30.331822322243287,1.8333204920153487,1.86,256.974
2020-01-01,24.88073613334828,30.985220300230694,1.790214651733776,1.76,257.971
2020-02-01,26.420720263292264,30.729689264735743,1.8043352552014507,1.5,258.678
2020-03-01,22.80059861053586,24.817168629099413,2.2462956768386606,0.87,258.115
2020-04-01,24.96587940066201,25.927358825280162,2.1583732866977217,0.66,256.389
2020-05-01,27.824406747355376,27.328480997698456,2.0429703184196106,0.67,256.394
2020-06-01,31.287523018148832,28.838315955122845,1.9222711190535522,0.73,257.797
2020-07-01,32.43513978942723,29.599194927666993,1.851944749352938,0.62,259.101
2020-08-01,34.41380593228938,31.15820896535522,1.7432701105538702,0.65,259.918
2020-09-01,34.26508518292269,30.83942604381124,1.748617101881336,0.68,260.28
2020-10-01,35.296500295657125,31.28369403259284,1.7158449697482696,0.79,260.388
2020-11-01,37.164819533649826,32.47320409661256,1.6474881464905913,0.87,260.229
2020-12-01,39.257516200998616,33.7655914181171,1.5771030342788612,0.93,260.474
2021-01-01,35.964245917834475,34.5124322941069,1.530509845884747,1.08,261.582
2021-02-01,33.23623175131793,35.103907171969816,1.4896240881926042,1.26,263.014
2021-03-01,30.503184562165096,35.04254511219207,1.4738080888770948,1.61,264.877
2021-04-01,29.924676200569834,36.719814109133,1.393580054722836,1.64,267.054
2021-05-01,28.052473525980446,36.55213398979905,1.3865141670281433,1.62,269.195
2021-06-01,26.69746501294121,36.696258013088354,1.3652279075802358,1.52,271.696
2021-07-01,26.556726993465002,37.443383184615385,1.3366642333103138,1.32,273.003
2021-08-01,26.220750933850887,37.973500614070474,1.319905973758513,1.28,273.567
2021-09-01,25.340838701096352,37.62034668665119,1.3328963032312706,1.37,274.31
2021-10-01,24.387442692346742,37.2530250003253,1.3369037467968905,1.58,276.589
2021-11-01,24.514872980023465,38.5826274977192,1.2858638760971832,1.56,277.948
2021-12-01,23.625474944522797,38.30484987346744,1.2919797561501651,1.47,278.802
2022-01-01,23.113697464836182,36.936758070297444,1.331960219273237,1.76,281.148
2022-02-01,22.415640450314754,35.28714922569486,1.3851658788625578,1.93,283.716
2022-03-01,22.18819270067862,34.270798693291724,1.4112100102413967,2.13,287.504
2022-04-01,22.401523602230988,33.88916475591384,1.4267613983673573,2.75,289.109
2022-05-01,20.811221949418815,30.67315507954513,1.5675993750068042,2.9,292.296
2022-06-01,20.279551995561572,29.047721395103835,1.641981937001788,3.14,296.311
2022-07-01,20.52503454306952,29.00461831720893,1.6476795864293712,2.9,296.276
2022-08-01,22.013850103110506,30.69876336517529,1.5602874410532086,2.9,296.171
2022-09-01,20.565723848691317,28.22988465582196,1.696350032350171,3.52,296.808
2022-10-01,20.42753761287779,27.08076692540069,1.7673457610733534,3.98,298.012
2022-11-01,22.060829527688913,28.378949016273314,1.6946086905101128,3.89,297.711
2022-12-01,22.647646612914347,28.316901284527283,1.7104673807205448,3.62,296.797
2023-01-01,22.820537960704478,28.334813423755683,1.7004756660922247,3.53,299.17
2023-02-01,23.397606932891694,28.91976294386663,1.6614028870393882,3.75,300.84
2023-03-01,22.655472571985975,27.953041469070055,1.7187598258748165,3.66,301.67499999999995
2023-04-01,23.262783588762506,28.76468407710037,1.6590369534543223,3.46,303.363
2023-05-01,23.141001182219025,28.761805827303075,1.6531710164425804,3.57,304.127
2023-06-01,23.985057444073842,29.939593027231528,1.5812221933281407,3.75,305.109
