Date,Close,pred_top,pred_bot,top_score_label,bottom_score_label
2012-06-11,2809.72998046875,0.9068327368113719,5.476762016317339,0.0,0.0
2012-06-12,2843.070068359375,0.3197115904256376,3.341626320299037,0.0,0.0
2012-06-13,2818.610107421875,0.2909024834156412,4.17004497922013,0.0,0.0
2012-06-14,2836.330078125,0.61734050864567,4.471111857030296,0.0,0.0
2012-06-15,2872.800048828125,0.793916107404453,1.970249472735013,0.0,0.0
2012-06-18,2895.330078125,1.1795094989814472,1.7203926384203245,0.0,0.0
2012-06-19,2929.760009765625,3.270418978149425,1.2852763650787333,0.0,0.0
2012-06-20,2930.449951171875,2.3598439668121123,1.2445586405762044,0.0,0.0
2012-06-21,2859.090087890625,1.9612363804237403,2.0262776343791686,0.0,0.0
2012-06-22,2892.419921875,0.9228919681841753,1.2896263131063175,0.0,0.0
2012-06-25,2836.159912109375,0.3215337689719707,3.469710942694096,0.0,0.0
2012-06-26,2854.06005859375,0.43602716214575865,2.440637461284536,0.0,0.0
2012-06-27,2875.320068359375,0.757659438234232,1.6400265668643548,0.0,0.0
2012-06-28,2849.489990234375,0.7355977122147929,2.3181580223554903,0.0,0.0
2012-06-29,2935.050048828125,2.886711303231411,1.0674618211747102,0.0,0.0
2012-07-02,2951.22998046875,3.754673603163003,0.8842933386529555,0.0,0.0
2012-07-03,2976.080078125,4.975655981601704,0.9477176559912257,0.0,0.0
2012-07-05,2976.1201171875,2.9863547445398537,0.9076258746180476,0.0,0.0
2012-07-06,2937.330078125,1.2212675063169838,0.6906678131404519,0.0,0.0
2012-07-09,2931.77001953125,1.1860562865543476,0.5589576823350477,0.0,0.0
2012-07-10,2902.330078125,0.8183575384203603,0.7008869732151124,0.0,0.0
2012-07-11,2887.97998046875,0.6186067847065893,0.7080310957822299,0.0,0.0
2012-07-12,2866.18994140625,1.085671527214913,2.8937396108403735,0.0,0.0
2012-07-13,2908.469970703125,0.9891532281723957,0.5215794924007314,0.0,0.0
2012-07-16,2896.93994140625,1.8180472372973873,0.985287101665837,0.0,0.0
2012-07-17,2910.0400390625,2.175017863411498,0.7658826223381696,0.0,0.0
2012-07-18,2942.60009765625,1.6736446587275662,0.5368857736309222,0.0,0.0
2012-07-19,2965.89990234375,3.468395098740526,0.5034971520326986,0.0,0.0
2012-07-20,2925.300048828125,2.8282113812722436,0.5414121264494998,0.0,0.0
2012-07-23,2890.14990234375,2.1177392629878193,1.7728343530443065,0.0,0.0
2012-07-24,2862.989990234375,2.5321803122653765,5.591956014196624,0.0,0.0
2012-07-25,2854.239990234375,2.560768211828514,8.021815296950246,0.0,0.0
2012-07-26,2893.25,2.531260200741711,1.0226160355508749,0.0,0.0
2012-07-27,2958.090087890625,5.604236232679883,0.3541501045286743,0.0,0.0
2012-07-30,2945.840087890625,7.167074763969641,0.4492909593832433,0.0,0.0
2012-07-31,2939.52001953125,7.954161365701135,0.7649557620725396,0.0,0.0
2012-08-01,2920.2099609375,4.61884771031009,0.9657965493454505,0.0,0.0
2012-08-02,2909.77001953125,6.828944122258133,1.449938517963543,13.886858824614645,0.0
2012-08-03,2967.89990234375,22.3523484778595,0.4670171060213078,32.144018548844876,0.0
2012-08-06,2989.909912109375,28.52763127720886,0.38710058035212,39.05681871943929,0.0
2012-08-07,3015.860107421875,40.436342037231825,0.3999544504708124,47.207133803050716,0.0
2012-08-08,3011.25,36.9135973753925,0.35210219504850937,45.75921298376202,0.0
2012-08-09,3018.639892578125,42.253319109371084,0.331764334062692,48.080195628418565,0.0
2012-08-10,3020.860107421875,40.22092898973356,0.33209192166358725,48.777510246361246,0.0
2012-08-13,3022.52001953125,45.241857080963946,0.147218199813244,49.29884762126691,0.0
2012-08-14,3016.97998046875,42.69555898371966,0.20545084760129853,47.558858253512895,0.0
2012-08-15,3030.929931640625,46.49026203644556,0.19127433947464273,51.94019319464179,0.0
2012-08-16,3062.389892578125,49.96782295613285,0.1240441845170764,61.82098950738564,0.0
2012-08-17,3076.590087890625,55.56339207965585,0.11874188045220331,66.28091994921735,0.0
2012-08-20,3076.2099609375,55.54265836512175,0.08663076388157047,66.16153146668637,0.0
2012-08-21,3067.260009765625,53.02064973040204,0.07681776655297369,63.350572968867965,0.0
2012-08-22,3073.669921875,56.58924145264995,0.029646134591110103,65.36376796491865,0.0
2012-08-23,3053.39990234375,49.86884498365824,0.4085926003899417,58.997455729454806,0.0
2012-08-24,3069.7900390625,56.078706365625315,0.031667882676088686,64.14519265060757,0.0
2012-08-27,3073.18994140625,56.40840838108275,0.02323946351627608,65.21301796064382,0.0
2012-08-28,3077.139892578125,57.02553477972021,0.0329181950011022,66.45360001515168,0.0
2012-08-29,3081.18994140625,56.77332696015572,0.039610659676650437,67.72562026994066,0.0
2012-08-30,3048.7099609375,43.524050330266135,0.11471716316248437,57.52446102847848,0.0
2012-08-31,3066.9599609375,51.92354678525802,0.10370759613373229,63.256335046561894,0.0
2012-09-04,3075.06005859375,53.776198489817745,0.21031944897122395,65.80037555613984,0.0
2012-09-05,3069.27001953125,51.44803256653419,0.1331388458758017,63.98186736622029,0.0
2012-09-06,3135.81005859375,64.93251663607819,0.11222567538141211,84.8804493423627,0.0
2012-09-07,3136.419921875,64.60594271362595,0.03795914852573237,85.0719923284657,0.0
2012-09-10,3104.02001953125,55.20810366998111,0.0368385657611611,74.89598364722842,0.0
2012-09-11,3104.530029296875,56.20129623622697,0.06582076419614032,75.05616511158759,0.0
2012-09-12,3114.31005859375,56.00888778754621,0.07681143949417929,78.12783063612744,0.0
2012-09-13,3155.830078125,64.41260050558931,0.12549716725940704,91.168242755661,0.0
