Date,VIX
2011-06-01,18.299999237060547
2011-06-02,18.09000015258789
2011-06-03,17.950000762939453
2011-06-06,18.489999771118164
2011-06-07,18.06999969482422
2011-06-08,18.790000915527344
2011-06-09,17.770000457763672
2011-06-10,18.860000610351562
2011-06-13,19.610000610351562
2011-06-14,18.260000228881836
2011-06-15,21.31999969482422
2011-06-16,22.729999542236328
2011-06-17,21.850000381469727
2011-06-20,19.989999771118164
2011-06-21,18.860000610351562
2011-06-22,18.520000457763672
2011-06-23,19.290000915527344
2011-06-24,21.100000381469727
2011-06-27,20.559999465942383
2011-06-28,19.170000076293945
2011-06-29,17.270000457763672
2011-06-30,16.520000457763672
2011-07-01,15.869999885559082
2011-07-05,16.059999465942383
2011-07-06,16.34000015258789
2011-07-07,15.949999809265137
2011-07-08,15.949999809265137
2011-07-11,18.389999389648438
2011-07-12,19.8700008392334
2011-07-13,19.90999984741211
2011-07-14,20.799999237060547
2011-07-15,19.530000686645508
2011-07-18,20.950000762939453
2011-07-19,19.209999084472656
2011-07-20,19.09000015258789
2011-07-21,17.559999465942383
2011-07-22,17.520000457763672
2011-07-25,19.350000381469727
2011-07-26,20.229999542236328
2011-07-27,22.979999542236328
2011-07-28,23.739999771118164
2011-07-29,25.25
2011-08-01,23.65999984741211
2011-08-02,24.790000915527344
2011-08-03,23.3799991607666
2011-08-04,31.65999984741211
2011-08-05,32.0
2011-08-08,48.0
2011-08-09,35.060001373291016
2011-08-10,42.9900016784668
2011-08-11,39.0
2011-08-12,36.36000061035156
2011-08-15,31.8700008392334
2011-08-16,32.849998474121094
2011-08-17,31.579999923706055
2011-08-18,42.66999816894531
2011-08-19,43.04999923706055
2011-08-22,42.439998626708984
2011-08-23,36.27000045776367
2011-08-24,35.900001525878906
2011-08-25,39.7599983215332
2011-08-26,35.59000015258789
2011-08-29,32.279998779296875
2011-08-30,32.88999938964844
2011-08-31,31.6200008392334
2011-09-01,31.81999969482422
2011-09-02,33.91999816894531
2011-09-06,37.0
2011-09-07,33.380001068115234
2011-09-08,34.31999969482422
2011-09-09,38.52000045776367
2011-09-12,38.59000015258789
2011-09-13,36.90999984741211
2011-09-14,34.599998474121094
2011-09-15,31.969999313354492
2011-09-16,30.979999542236328
2011-09-19,32.72999954223633
2011-09-20,32.86000061035156
2011-09-21,37.31999969482422
2011-09-22,41.349998474121094
2011-09-23,41.25
2011-09-26,39.02000045776367
2011-09-27,37.709999084472656
2011-09-28,41.08000183105469
2011-09-29,38.84000015258789
2011-09-30,42.959999084472656
2011-10-03,45.45000076293945
2011-10-04,40.81999969482422
2011-10-05,37.810001373291016
2011-10-06,36.27000045776367
2011-10-07,36.20000076293945
2011-10-10,33.02000045776367
2011-10-11,32.86000061035156
2011-10-12,31.260000228881836
2011-10-13,30.700000762939453
2011-10-14,28.239999771118164
2011-10-17,33.38999938964844
2011-10-18,31.559999465942383
2011-10-19,34.439998626708984
2011-10-20,34.779998779296875
2011-10-21,31.31999969482422
2011-10-24,29.260000228881836
2011-10-25,32.220001220703125
2011-10-26,29.860000610351562
2011-10-27,25.459999084472656
2011-10-28,24.530000686645508
2011-10-31,29.959999084472656
2011-11-01,34.77000045776367
2011-11-02,32.7400016784668
2011-11-03,30.5
2011-11-04,30.15999984741211
2011-11-07,29.850000381469727
2011-11-08,27.479999542236328
2011-11-09,36.15999984741211
2011-11-10,32.810001373291016
2011-11-11,30.040000915527344
2011-11-14,31.1299991607666
2011-11-15,31.219999313354492
2011-11-16,33.5099983215332
2011-11-17,34.5099983215332
2011-11-18,32.0
2011-11-21,32.90999984741211
2011-11-22,31.969999313354492
2011-11-23,33.97999954223633
2011-11-25,34.470001220703125
2011-11-28,32.130001068115234
2011-11-29,30.639999389648438
2011-11-30,27.799999237060547
2011-12-01,27.40999984741211
2011-12-02,27.520000457763672
2011-12-05,27.84000015258789
2011-12-06,28.1299991607666
2011-12-07,28.670000076293945
2011-12-08,30.59000015258789
2011-12-09,26.3799991607666
2011-12-12,25.670000076293945
2011-12-13,25.40999984741211
2011-12-14,26.040000915527344
2011-12-15,25.110000610351562
2011-12-16,24.290000915527344
2011-12-19,24.920000076293945
2011-12-20,23.219999313354492
2011-12-21,21.43000030517578
2011-12-22,21.15999984741211
2011-12-23,20.729999542236328
2011-12-27,21.90999984741211
2011-12-28,23.520000457763672
2011-12-29,22.649999618530273
2011-12-30,23.399999618530273
2012-01-03,22.969999313354492
2012-01-04,22.219999313354492
2012-01-05,21.479999542236328
