,0
DD_depth,0.0407498488406908
MA60_slope_10d,0.037098368543504456
MA60_slope_20d,0.03446536757338228
Dist_from_60d_high,0.033537562483962835
Dist_MA60,0.032699881438986375
CAPE_rank_252,0.030572456577285925
CAPE_change_20d,0.02662260606012165
CAPE_zscore_252,0.0263958447275665
CAPE_change_120d,0.026302940438358118
MA20_cross_MA60,0.025630822522525448
Spread_10Y_2Y,0.021827765318880404
Shiller_CAPE,0.020075420254777408
CAPE_change_60d,0.018911350213871962
Days_since_60d_high,0.018867905331345077
Max_dd_20d,0.01807674341341911
SP500_PE,0.01804313695937135
VIX_VVIX_Ratio,0.017876930879133245
ATR_Pct,0.016022360830650503
PE_zscore_252,0.01560158545829699
PE_change_120d,0.015003878636746718
PE_change_20d,0.014634491155655467
Dist_MA200,0.01403024822717801
MA200_slope_60d,0.01355680969378417
Volatility_20d,0.013453869176924623
LQD_TLT_Ratio,0.013141229817867322
PE_change_60d,0.013012909409188535
MA20_cross_MA200_change_10d,0.012791603546832857
MA20_cross_MA200,0.012564396398299609
MA200_slope_20d,0.011725176750502631
MA20_slope_10d,0.011668162274207845
PE_rank_252,0.01130633649196573
Trend_20d,0.011017546401938676
HYG_TLT_Ratio,0.010991710757229723
Dist_from_60d_low,0.010704711644973806
OBV_change_10d,0.010698093441311134
BB_pctB,0.009640161387656625
Mom_20d,0.009509438848820538
MA20_slope_5d,0.00917021167927517
Return_kurtosis_20d,0.008943075561729739
SKEW,0.008857062022336317
Dist_MA200_change_20d,0.008653540407226504
Dist_MA20,0.007831411148971288
Volatility_regime,0.007472243977981942
BB_width,0.007229989733040057
VIX,0.006874460509033421
Return_skew_20d,0.006660802903489951
RSI,0.006407667405159995
VVIX,0.006180387879647044
VIX_corr_20d,0.006001145890155843
MACD_Hist,0.005986432139611107
MA10_slope_10d,0.005904182111177921
VIX3M_VIX9D_Spread,0.005731195264111225
Williams_R,0.005613627550583824
Vol_w_MACD,0.005469488646107218
VIX9D_VIX3M_Ratio,0.0053024372720951105
Mom_10d,0.004632893387776869
VIX9D_VIX_Ratio,0.004627838975873283
VIX3M_VIX_Ratio,0.0044853627542265385
LQD_TLT_zscore,0.0040842571245557025
VIX_Volatility_ratio,0.004019691938155396
OBV_change_5d,0.003825594912002791
Mom_20d_zscore,0.003816982547096376
ATR_vs_VIX,0.0035565829429413144
Volatility_20d_change_10d,0.003485393458306874
Mom_5d,0.003476033751004757
DD_depth_change_10d,0.0033869637267597533
Dist_MA20_change_5d,0.003351099966877355
MACD_Hist_change_5d,0.0033333280191679285
Dist_MA200_change_5d,0.003241636172721419
HYG_TLT_zscore,0.0030918493015956575
Std_5d,0.0029656243352643515
VIX_change_20d,0.002921738323828181
BB_width_change_10d,0.0028579744643938538
Dist_MA60_change_10d,0.0028314490035632155
ATR_Pct_change_10d,0.0027626876117133013
MA10_slope_5d,0.002625598958730551
Mom_accel_20d_10d,0.0026203360052482233
MACD_Hist_change_3d,0.002450512765818608
HYG_TLT_change_20d,0.0024067292200981153
Spread_10Y2Y_change_20d,0.002336795734130325
MA5_slope_10d,0.002332522743888523
SKEW_change_20d,0.0023124445176702898
LQD_TLT_change_20d,0.0022385964643095394
LQD_TLT_change_10d,0.002196758883302242
Trend_20d_change_5d,0.0021448758771170223
Gap_abs_5d,0.002142655060367203
Mom_5d_vs_20d,0.0021411182230129384
VIX_zscore_60d,0.002135911647826388
MA5_slope_5d,0.0021333044735955147
VIX3M_change_10d,0.0020760007588995328
Spread_10Y2Y_change_10d,0.0020103442036324064
SKEW_rank_60d,0.001972598035192421
Mom_accel_10d,0.0019283877466648486
VIX_spike,0.001875017025158613
RSI_extreme,0.0018405051145597487
BB_pctB_change_5d,0.0017634601434001482
Vol_surge,0.0017550503124298823
High_low_range_5d,0.0017397509420544468
HYG_TLT_change_10d,0.0017041920576193513
Intraday_range,0.0017009465055126689
LQD_TLT_change_5d,0.0016985407220379352
Close_above_MA20,0.0016876645605237938
ATR_Pct_change_5d,0.0016396901202231362
VVIX_change_10d,0.0016390761579671384
VIX_rank_60d,0.001632920651938188
VIX_change_10d,0.0016297062800412908
VIX_corr_20d_change_5d,0.0016184585715541594
Volatility_20d_change_5d,0.001606649859177979
VIX_VVIX_Ratio_change_10d,0.0015793295871849651
VVIX_change_5d,0.0015474295714535949
SKEW_Dist_MA20,0.001518556478913089
