Date,SKEW
2011-06-01,119.33000183105469
2011-06-02,119.19999694824219
2011-06-03,116.80000305175781
2011-06-06,116.0199966430664
2011-06-07,116.06999969482422
2011-06-08,118.76000213623047
2011-06-09,117.2699966430664
2011-06-10,122.6500015258789
2011-06-13,120.98999786376953
2011-06-14,125.30000305175781
2011-06-15,124.31999969482422
2011-06-16,122.3499984741211
2011-06-17,122.3499984741211
2011-06-20,117.44000244140625
2011-06-21,116.5199966430664
2011-06-22,114.73999786376953
2011-06-23,116.79000091552734
2011-06-24,115.91999816894531
2011-06-27,119.45999908447266
2011-06-28,122.1500015258789
2011-06-29,128.72999572753906
2011-06-30,122.08999633789062
2011-07-01,119.62999725341797
2011-07-05,121.77999877929688
2011-07-06,121.51000213623047
2011-07-07,121.86000061035156
2011-07-08,119.68000030517578
2011-07-11,123.08000183105469
2011-07-12,119.20999908447266
2011-07-13,124.79000091552734
2011-07-14,126.62999725341797
2011-07-15,129.24000549316406
2011-07-18,123.91999816894531
2011-07-19,126.12000274658203
2011-07-20,122.97000122070312
2011-07-21,122.41999816894531
2011-07-22,121.58999633789062
2011-07-25,119.44999694824219
2011-07-26,120.12000274658203
2011-07-27,119.44000244140625
2011-07-28,120.36000061035156
2011-07-29,120.6500015258789
2011-08-01,118.63999938964844
2011-08-02,116.08000183105469
2011-08-03,117.2699966430664
2011-08-04,113.16999816894531
2011-08-05,119.36000061035156
2011-08-08,121.05999755859375
2011-08-09,124.51000213623047
2011-08-10,118.6500015258789
2011-08-11,119.98999786376953
2011-08-12,119.79000091552734
2011-08-15,121.76000213623047
2011-08-16,122.41000366210938
2011-08-17,126.16000366210938
2011-08-18,124.44000244140625
2011-08-19,124.05000305175781
2011-08-22,119.4000015258789
2011-08-23,124.05000305175781
2011-08-24,123.37000274658203
2011-08-25,120.80999755859375
2011-08-26,122.97000122070312
2011-08-29,122.97000122070312
2011-08-30,119.9000015258789
2011-08-31,120.01000213623047
2011-09-01,120.2300033569336
2011-09-02,119.33000183105469
2011-09-06,121.04000091552734
2011-09-07,118.75
2011-09-08,118.58999633789062
2011-09-09,116.9000015258789
2011-09-12,117.2300033569336
2011-09-13,118.05000305175781
2011-09-14,115.7300033569336
2011-09-15,120.0
2011-09-16,123.2699966430664
2011-09-19,120.76000213623047
2011-09-20,120.61000061035156
2011-09-21,120.18000030517578
2011-09-22,119.37000274658203
2011-09-23,118.23999786376953
2011-09-26,120.33999633789062
2011-09-27,119.55000305175781
2011-09-28,118.20999908447266
2011-09-29,118.97000122070312
2011-09-30,114.83000183105469
2011-10-03,113.08999633789062
2011-10-04,115.27999877929688
2011-10-05,113.87000274658203
2011-10-06,115.41999816894531
2011-10-07,116.0999984741211
2011-10-10,116.80999755859375
2011-10-11,118.91000366210938
2011-10-12,121.5999984741211
2011-10-13,121.9800033569336
2011-10-14,121.9000015258789
2011-10-17,124.45999908447266
2011-10-18,127.98999786376953
2011-10-19,122.56999969482422
2011-10-20,122.56999969482422
2011-10-21,127.19000244140625
2011-10-24,124.8499984741211
2011-10-25,122.6500015258789
2011-10-26,122.6500015258789
2011-10-27,122.81999969482422
2011-10-28,121.18000030517578
2011-10-31,120.69000244140625
2011-11-01,126.6500015258789
2011-11-02,123.94999694824219
2011-11-03,124.19000244140625
2011-11-04,123.55999755859375
2011-11-07,124.93000030517578
2011-11-08,124.7699966430664
2011-11-09,122.87000274658203
2011-11-10,125.23999786376953
2011-11-11,124.55999755859375
2011-11-14,124.55999755859375
2011-11-15,124.97000122070312
2011-11-16,122.91999816894531
2011-11-17,121.58999633789062
2011-11-18,120.04000091552734
2011-11-21,115.1500015258789
2011-11-22,114.91999816894531
2011-11-23,116.77999877929688
2011-11-25,114.7699966430664
2011-11-28,118.62999725341797
2011-11-29,116.44999694824219
2011-11-30,116.55999755859375
2011-12-01,116.9000015258789
2011-12-02,116.30999755859375
2011-12-05,116.13999938964844
2011-12-06,115.16000366210938
2011-12-07,115.87000274658203
2011-12-08,115.37000274658203
2011-12-09,116.83000183105469
2011-12-12,120.26000213623047
2011-12-13,119.44000244140625
2011-12-14,120.66000366210938
2011-12-15,122.3499984741211
2011-12-16,119.22000122070312
2011-12-19,116.58000183105469
2011-12-20,120.66000366210938
2011-12-21,115.16000366210938
2011-12-22,115.55999755859375
2011-12-23,117.13999938964844
2011-12-27,116.52999877929688
2011-12-28,116.31999969482422
2011-12-29,116.56999969482422
2011-12-30,116.20999908447266
2012-01-03,117.0999984741211
2012-01-04,117.62999725341797
2012-01-05,117.76000213623047
2012-01-06,118.29000091552734
2012-01-09,119.06999969482422
2012-01-10,118.98999786376953
2012-01-11,120.19999694824219
