Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2011-06-01,101.04242706298828,103.37942351639121,100.9581415616621,103.06526740311139,233094300
2011-06-02,100.9351806640625,101.32596430866437,100.34519370038673,101.11142146883537,200466800
2011-06-03,99.93142700195312,100.69765479220737,99.67091235927666,99.72454222490619,234690200
2011-06-06,98.8740463256836,99.88547279899133,98.74378898140189,99.67858798550378,179951200
2011-06-07,98.8127670288086,99.66328056790807,98.72848148198932,99.37976826040071,161660500
2011-06-08,98.39897155761719,98.98897023060775,98.21507267868672,98.65948620065419,198696400
2011-06-09,99.14987182617188,99.55597162148833,98.4296275211428,98.66715626651187,160964400
2011-06-10,97.77066040039062,98.78973887202066,97.51014576961637,98.72845094030365,238629400
2011-06-13,97.84729766845703,98.26106726987602,97.3492542245111,97.99288283593002,207599800
2011-06-14,99.08858489990234,99.43338507222836,98.70547099916045,98.74377303586793,160570400
2011-06-15,97.32624053955078,99.07324461787384,97.06572592579988,98.26104512105813,300958000
2011-06-16,97.54080200195312,98.0541732287566,96.78989618020665,97.35690311957386,308032800
2011-06-17,97.83186340332031,98.51718647790263,97.50075179286088,98.50948456840294,233284900
2011-06-20,98.3323974609375,98.54030793916986,97.46997140260152,97.50077317251879,159479000
2011-06-21,99.67993927001953,99.87244591663976,98.37089642293662,98.84061311067691,193157300
2011-06-22,99.0793228149414,99.95715268315597,99.01771927598396,99.37193668757081,176703000
2011-06-23,98.79440307617188,99.05620926830764,97.16964667841911,97.91657332926155,334286500
2011-06-24,97.64705657958984,98.84829601497142,97.500755542483,98.77130041635591,226129300
2011-06-27,98.5171890258789,98.89449447858799,97.51615225911084,97.70865887773272,168904700
2011-06-28,99.8031234741211,99.81852729222948,98.77129090460032,98.90989001856406,165556300
2011-06-29,100.65784454345703,100.81954349574683,99.8185186491198,100.2574275550045,244295500
2011-06-30,101.62042999267578,101.78212902853575,100.65020052848911,100.9813063874147,223322700
2011-07-01,103.12193298339844,103.26054384375568,101.47407697487726,101.71278327639612,202385700
2011-07-05,103.03726959228516,103.24518008866227,102.71385979218458,103.01416973154046,165936000
2011-07-06,103.16046905517578,103.29137217294189,102.49824568021701,102.79085956091419,143331600
2011-07-07,104.23076629638672,104.49257243318128,103.86115694151972,104.0767633776646,170464200
2011-07-08,103.49154663085938,104.23077716736256,102.7138241729132,103.05263767924089,194100500
2011-07-11,101.62042999267578,102.55215576986107,101.38172358281304,102.22104991093548,195918600
2011-07-12,101.18148040771484,102.24412076919647,101.1506845166551,101.40479467916906,214675700
2011-07-13,101.52030181884766,102.5829422626137,101.27389942227295,101.7128084644764,204062600
2011-07-14,100.81959533691406,102.24414950449226,100.62708865208866,101.77443272353126,226111800
2011-07-15,101.40479278564453,101.54339191733376,100.69636980777588,101.38169293036299,220012800
2011-07-18,100.57315826416016,101.08907459190799,99.81853560936035,100.93507164700397,196872100
2011-07-19,102.20562744140625,102.32883451746449,101.11219107815478,101.13529093620652,166554900
2011-07-20,102.14401245117188,102.52902570843173,101.96690964274053,102.46743392698164,137145400
2011-07-21,103.5608901977539,103.81500040665452,102.15943603042469,102.72155220483695,245246300
2011-07-22,103.63020324707031,103.73800652397875,102.99877566112369,103.5840035212061,126019400
2011-07-25,103.05264282226562,103.56086310712078,102.53672650267195,102.64452973736807,136653800
2011-07-26,102.66765594482422,103.15277650031715,102.43664559698595,102.98336969521404,131278200
2011-07-27,100.56549072265625,102.12864396818193,100.43457584524043,102.09783632066943,249020100
2011-07-28,100.27286529541016,101.46640888133723,100.11115453874193,100.56547916477477,207939900
2011-07-29,99.58753967285156,100.52697304675975,98.54030304700342,99.26412991703168,307038400
2011-08-01,99.16400909423828,100.84267292944865,98.20147599482249,100.75026176212803,325790900
2011-08-02,96.630615234375,98.94839643791352,96.630615234375,98.417076320284,346653800
2011-08-03,97.15425872802734,97.26206198649658,95.12138888998315,96.76154937567667,370830800
2011-08-04,92.60338592529297,95.96070184066714,92.44937710473151,95.80669302010568,520721800
2011-08-05,92.46479034423828,93.99714154721224,89.98530389153649,93.75843519456807,655619200
2011-08-08,86.44320678710938,92.49561766523232,86.25839613255009,90.02383244017264,702263900
2011-08-09,90.4627456665039,90.5859468922577,84.91084759897753,87.83695161481315,717828700
2011-08-10,86.46626281738281,89.53866642515396,86.20445079356472,88.75324210336974,662607400
2011-08-11,90.34719848632812,91.57153763650376,86.48936459597581,87.21319128843297,487979700
2011-08-12,90.95555114746094,91.79487738650833,90.30872569847756,91.17115767217634,313731600
2011-08-15,92.88059997558594,92.97299939711415,91.63315491143052,91.7794618286316,258810600
2011-08-16,92.08746337890625,92.93449720176768,91.10183043030653,91.99506396174739,294095200
2011-08-17,92.14907836914062,93.32721808314878,91.41755547640668,92.59569519041483,238201100
2011-08-18,88.17573547363281,92.17987089253198,87.31330368540465,89.70808655175159,512956300
2011-08-19,86.73577880859375,89.23066286021827,86.62797557564203,86.98218703745994,428281300
2011-08-22,86.80506896972656,88.73013475489465,86.55866078421843,88.68392918116312,275090600
2011-08-23,89.66189575195312,89.7619970911803,86.68959271973723,87.12850762994339,331136600
2011-08-24,90.92472839355469,91.0479295757452,89.26146837271409,89.46937881273708,246869700
2011-08-25,89.53868103027344,91.94116583997851,89.222973218248,91.42524949176865,312365400
2011-08-26,90.84001922607422,91.25583420480623,87.66750820769415,89.08435989909606,314495900
2011-08-29,93.45043182373047,93.5043334525699,90.90934160738705,92.06438154666371,190977200
2011-08-30,93.69683837890625,94.27435833788007,91.83337538791156,93.04231693370329,241315700
2011-08-31,94.11264038085938,95.10597527728743,93.40421740622163,94.29744509710487,301828400
2011-09-01,93.12702178955078,95.02128657967225,93.00381470978503,94.16655655701737,254585900
2011-09-02,90.74757385253906,93.07305594247148,90.42416430355493,91.18648849039835,255517200
2011-09-06,90.08541107177734,90.21632005979069,88.07564115832797,88.08334306934917,285130500
2011-09-07,92.62647247314453,92.66497026662753,91.14032134852974,91.44833307056852,209803200
2011-09-08,91.66395568847656,93.1270072202032,91.45604524260786,92.07206879538833,250568200
2011-09-09,89.26151275634766,91.67939664179715,88.76869603286997,90.61676168333067,380195100
2011-09-12,89.83901977539062,89.9083252380091,87.82155344438415,88.14496327036929,305793500
2011-09-13,90.6629409790039,91.00175460308762,89.49250299328165,90.13162655695322,272514700
2011-09-14,91.91808319091797,93.01922153379992,89.87751139643694,91.12495080771555,319389500
2011-09-15,93.50432586669922,93.53512763422813,91.94117288233507,92.90370608697668,326777200
2011-09-16,94.0577163696289,94.40602450078127,93.12890649701421,93.87969733157185,284528300
2011-09-19,93.12117004394531,93.60105851841776,91.89049659739442,92.51744300184642,241517000
2011-09-20,93.01282501220703,94.42152365343495,92.88898642337197,93.51593293519497,218932200
2011-09-21,90.27281951904297,93.34564136699521,90.12576157701952,93.05926133421325,316251300
2011-09-22,87.35478973388672,88.39970229998765,86.1473357379682,87.65665323286635,513911300
2011-09-23,87.88113403320312,88.3610225661781,86.70463501856455,86.774299019346,307242500
2011-09-26,89.97097778320312,90.09482229622303,87.44770783535225,88.70934280927769,260673700
2011-09-27,90.97718048095703,92.54067884522243,90.43536967356287,91.74344910122574,311753900
2011-09-28,89.11954498291016,91.71247829270446,88.98796464988389,91.16293169133307,286696800
2011-09-29,89.82390594482422,91.04683784341273,88.18300183190641,90.59791631606706,298108900
2011-09-30,87.57926940917969,89.35948961261435,87.5173471659567,88.58547928801751,288392300
2011-10-03,85.08695983886719,88.19847891438262,84.99407646898969,87.06842448774346,365136800
2011-10-04,86.95233154296875,87.13809830364201,83.15194328563638,83.86403148585714,459177500
2011-10-05,88.56224822998047,88.79445365879282,86.36406203286892,87.16903337279452,284108000
2011-10-06,90.1644287109375,90.29601490688528,87.85788207807708,88.51578943690393,257800800
2011-10-07,89.56076049804688,90.75273745987909,89.05765245688177,90.69081519830112,312657900
2011-10-10,92.55615234375,92.5948493152995,91.07778984817922,91.08553160458109,230666300
2011-10-11,92.64905548095703,92.91222212449813,91.9137478601683,92.0066312470472,209088000
2011-10-12,93.46175384521484,94.53762780629411,93.13667090126944,93.34565110659703,281544900
2011-10-13,93.27597045898438,93.5546146022183,92.20009675797583,92.91218472169402,212538800
2011-10-14,94.87045288085938,94.89367224762819,93.83328179698162,94.35960909625364,211397600
2011-10-17,93.05926513671875,94.85496887696407,92.82705967422305,94.42151907398747,202311600
2011-10-18,94.87818145751953,95.59026949724793,92.26202293403725,92.98959448628094,318857900
2011-10-19,93.7558822631836,95.26520616097159,93.43079929636072,94.72339531103577,226601300
2011-10-20,94.16609191894531,94.50665242087351,92.74190995692749,93.98806695923194,262075600
2011-10-21,95.95404815673828,96.07015087107274,94.98653537933346,95.2729153820985,278999400
2011-10-24,97.13055419921875,97.37050141594133,96.0237191963402,96.10886080465625,203215600
2011-10-25,95.2419662475586,96.71258103887573,95.03298016737456,96.66614231227027,268596800
2011-10-26,96.20948028564453,96.57326015730355,94.59179572771485,96.24817725655474,289053800
2011-10-27,99.56095886230469,100.17242186530949,97.99745458929011,98.78694257782391,393220200
2011-10-28,99.53773498535156,99.73123757139582,98.91852434791782,99.07332405466111,225906500
2011-10-31,97.1383056640625,99.55321434425167,96.99898355518768,98.42316576871144,228146700
2011-11-01,94.42926788330078,95.59802522941933,94.05774029660597,94.45248725023846,416565800
2011-11-02,95.96952819824219,96.2868752317942,95.04071827045539,95.84568963031104,244717600
2011-11-03,97.71880340576172,97.91230598676323,95.6676748660997,96.96027068993455,291174800
2011-11-04,97.1228256225586,97.29310294671491,95.98502941277383,96.92932302647903,249401600
2011-11-07,97.7265396118164,97.82715882233938,96.13207441936956,97.05314854229542,196617200
2011-11-08,98.98046875,99.08883566172037,97.30086724419759,98.23741931755144,224426300
2011-11-09,95.32711791992188,97.37050477963632,95.09491245190553,96.66615252382238,337982000
2011-11-10,96.2249755859375,96.7048641742541,95.21875967358137,96.58876142971596,231866500
2011-11-11,98.03614807128906,98.29156698397856,97.36275698001864,97.39371810084796,189924400
2011-11-14,97.10735321044922,98.64763239788167,96.68938684650261,97.67238345390422,159258300
2011-11-15,97.58719635009766,98.10578170794597,96.5345421252312,96.8828443135822,184709400
2011-11-16,96.0391845703125,97.78844332568742,95.89986250167627,96.60420869489401,235782500
2011-11-17,94.51439666748047,96.10112011875329,93.83326974044654,95.86117291410135,331219600
2011-11-18,94.41377258300781,95.00975787524808,94.01902570334087,94.81625531338403,215580400
2011-11-21,92.61811828613281,93.15218162525969,91.83636586711411,93.03607884536855,229611600
2011-11-22,92.25431060791016,92.95865707098966,91.73571910054334,92.41685209939004,216494900
