Price,Close,High,Low,Open,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Date,,,,,
2011-06-13,2639.68994140625,2657.77001953125,2629.610107421875,2649.300048828125,1847050000
2011-06-14,2678.719970703125,2685.64990234375,2662.72998046875,2662.72998046875,1701300000
2011-06-15,2631.4599609375,2669.75,2625.860107421875,2653.169921875,1982430000
2011-06-16,2623.699951171875,2642.64990234375,2599.860107421875,2631.97998046875,1958250000
2011-06-17,2616.47998046875,2648.5400390625,2608.989990234375,2646.2900390625,2393690000
2011-06-20,2629.659912109375,2636.550048828125,2607.739990234375,2608.050048828125,1625850000
2011-06-21,2687.260009765625,2688.5,2634.0400390625,2640.330078125,1882490000
2011-06-22,2669.18994140625,2693.22998046875,2668.35009765625,2677.179931640625,1617370000
2011-06-23,2686.75,2688.070068359375,2627.469970703125,2638.60009765625,2060450000
2011-06-24,2652.889892578125,2682.409912109375,2647.4599609375,2681.10009765625,2842870000
2011-06-27,2688.280029296875,2697.340087890625,2647.550048828125,2653.070068359375,1710740000
2011-06-28,2729.31005859375,2729.93994140625,2692.449951171875,2694.260009765625,1682590000
2011-06-29,2740.489990234375,2746.6201171875,2722.260009765625,2736.760009765625,1804490000
2011-06-30,2773.52001953125,2776.56005859375,2749.110107421875,2749.3701171875,1859130000
2011-07-01,2816.030029296875,2818.18994140625,2769.06005859375,2775.080078125,1646380000
2011-07-05,2825.77001953125,2828.530029296875,2810.0,2817.8701171875,1556620000
2011-07-06,2834.02001953125,2838.85009765625,2812.800048828125,2821.419921875,1639490000
2011-07-07,2872.659912109375,2878.93994140625,2853.89990234375,2856.25,1873710000
2011-07-08,2859.81005859375,2860.02001953125,2831.159912109375,2841.2900390625,1612120000
2011-07-11,2802.6201171875,2841.1201171875,2795.5400390625,2828.10009765625,1765920000
2011-07-12,2781.909912109375,2807.570068359375,2780.159912109375,2798.75,2015410000
2011-07-13,2796.919921875,2825.860107421875,2789.570068359375,2800.8798828125,1885510000
2011-07-14,2762.669921875,2817.3798828125,2755.89990234375,2804.820068359375,1946500000
2011-07-15,2789.800048828125,2790.159912109375,2768.280029296875,2787.330078125,1804380000
2011-07-18,2765.110107421875,2783.760009765625,2743.7900390625,2777.610107421875,1752220000
2011-07-19,2826.52001953125,2828.64990234375,2790.97998046875,2790.97998046875,1882760000
2011-07-20,2814.22998046875,2839.64990234375,2808.179931640625,2839.389892578125,1863670000
2011-07-21,2834.429931640625,2847.409912109375,2807.7099609375,2818.7900390625,2284150000
2011-07-22,2858.830078125,2862.719970703125,2830.580078125,2834.4599609375,1665220000
2011-07-25,2842.800048828125,2859.39990234375,2828.909912109375,2832.110107421875,1613240000
2011-07-26,2839.9599609375,2851.719970703125,2832.27001953125,2842.739990234375,1739980000
2011-07-27,2764.7900390625,2823.860107421875,2761.0,2823.6201171875,2367470000
2011-07-28,2766.25,2800.110107421875,2757.85009765625,2765.610107421875,2067020000
2011-07-29,2756.3798828125,2780.580078125,2724.989990234375,2736.669921875,2301210000
2011-08-01,2744.610107421875,2796.239990234375,2716.300048828125,2791.449951171875,2209790000
2011-08-02,2669.239990234375,2745.8701171875,2668.679931640625,2728.2900390625,2377250000
2011-08-03,2693.070068359375,2695.3701171875,2621.669921875,2673.969970703125,2601310000
