Date,Close,source,pred_top,pred_bot,label_top,label_bot,cal_top_prob,cal_bot_prob
2011-12-12,2612.260009765625,nasdaq,-0.22304881480107294,-0.29740779986566024,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-13,2579.27001953125,nasdaq,-0.8219399488692899,0.3124729616232641,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-14,2539.31005859375,nasdaq,-0.2993140906115888,-1.1402396029771924,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-15,2541.010009765625,nasdaq,0.9215095522872588,0.6331649631468317,0.0,0.0,0.1490866234531526,0.11360278139939158
2011-12-16,2555.330078125,nasdaq,-0.22131639414381107,-0.7201918046509207,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-19,2523.139892578125,nasdaq,-0.5008314605077014,-1.4075855353851934,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-20,2603.72998046875,nasdaq,0.46143337415879915,-0.2058063555924984,0.0,0.0,0.1490866234531526,0.11360278139939158
2011-12-21,2577.969970703125,nasdaq,0.2696367931069452,0.46928683006726185,0.0,0.0,0.1490866234531526,0.11360278139939158
2011-12-22,2599.449951171875,nasdaq,-0.7421756936529214,0.5734061859663143,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-23,2618.639892578125,nasdaq,-0.5337479432109693,-0.11730089265039528,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-27,2625.199951171875,nasdaq,-1.0895115975238001,-0.4873923848105393,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-28,2589.97998046875,nasdaq,-1.191810341166133,-0.014110813051054449,0.0,0.0,0.09730644478916937,0.11360278139939158
2011-12-29,2613.739990234375,nasdaq,0.6923065904369006,-1.2985307623605622,0.0,0.0,0.1490866234531526,0.11360278139939158
2011-12-30,2605.14990234375,nasdaq,0.923513575301135,-0.04446111653512367,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-03,2648.719970703125,nasdaq,-0.4679291169951869,-0.4229047076918137,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-04,2648.360107421875,nasdaq,0.15458255734058715,-0.2758028534620894,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-05,2669.860107421875,nasdaq,-0.032450239912945,0.12577786884305256,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-06,2674.219970703125,nasdaq,-0.24862155718479967,0.36193914447038356,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-09,2676.56005859375,nasdaq,0.0158885686843296,0.3891983763650138,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-10,2702.5,nasdaq,0.61665146369798,0.18871843543700292,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-11,2710.760009765625,nasdaq,-0.28193620432971433,-0.44738588301026605,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-12,2724.699951171875,nasdaq,-0.26470061353054775,0.37253207065873184,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-13,2710.669921875,nasdaq,-0.4437107948208383,1.7472602147400347,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-17,2728.080078125,nasdaq,-0.6430609018609236,0.288342029798747,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-18,2769.7099609375,nasdaq,-0.5410386286345499,0.1426696011914432,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-19,2788.330078125,nasdaq,0.08440046664588073,0.1834386049273274,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-20,2786.699951171875,nasdaq,0.22487905146572185,0.2348662134753302,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-23,2784.169921875,nasdaq,-0.06163993866266306,0.6945904734190561,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-24,2786.639892578125,nasdaq,-0.20760630577965022,-0.2939054760653913,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-25,2818.31005859375,nasdaq,0.12338454182618516,-0.22587029760914315,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-26,2805.280029296875,nasdaq,-0.24186361578061066,0.07282174187739608,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-27,2816.550048828125,nasdaq,-1.9952750397383339,0.04991882947966268,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-01-30,2811.93994140625,nasdaq,0.8515761085484573,-0.10630642977846307,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-01-31,2813.840087890625,nasdaq,0.4879042321974897,0.03568137416728774,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-02-01,2848.27001953125,nasdaq,1.3492799333167307,0.2143712682845566,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-02-02,2859.679931640625,nasdaq,2.1115759999836046,-0.07938913343201578,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-02-03,2905.659912109375,nasdaq,-1.2239774671836277,0.23135536881042068,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-02-06,2901.989990234375,nasdaq,-1.0145494928174532,-0.1454046596665552,0.0,0.0,0.09730644478916937,0.11360278139939158
2012-02-07,2904.080078125,nasdaq,0.7384765894317802,0.28836006834080613,0.0,0.0,0.1490866234531526,0.11360278139939158
2012-02-08,2915.860107421875,nasdaq,0.31829001392700107,0.023967587609833634,0.0,0.0,0.1490866234531526,0.11360278139939158
