Date,Open,High,Low,Close,Volume,VIX,VVIX,VIX_VVIX_Ratio,MA20,MA60,MA120,MA200,Dist_MA20,Dist_MA60,Dist_MA200,RSI,MACD,MACD_Signal,MACD_Hist,TR,ATR_Pct,Return,Volatility_20d,Vol_MA20,Vol_Ratio,Mom_5d,Mom_10d,Mom_20d,Peak,Drawdown
2011-06-13,2649.300048828125,2657.77001953125,2629.610107421875,2639.68994140625,1847050000,,,,,,,,,,,,0.0,0.0,0.0,28.159912109375,,,,,,,,,2639.68994140625,0.0
2011-06-14,2662.72998046875,2685.64990234375,2662.72998046875,2678.719970703125,1701300000,18.559999465942383,91.73999786376952,0.20231087745939663,,,,,,,,,0.8756737342250744,0.48648540790281913,0.3891883263222553,45.9599609375,,0.014785838550448238,,,,,,,2678.719970703125,0.0
2011-06-15,2653.169921875,2669.75,2625.860107421875,2631.4599609375,1982430000,19.309999465942383,105.06999969482422,0.18378223586207548,,,,,,,,,-0.34974792783350495,0.1437668276830142,-0.49351475551651913,52.85986328125,,-0.01764275858712472,,,,,,,2678.719970703125,-1.7642758587124707
2011-06-16,2631.97998046875,2642.64990234375,2599.860107421875,2623.699951171875,1958250000,21.3700008392334,100.38999938964844,0.21286981740371375,,,,,,,,,-1.1786944856826267,-0.30422142210209446,-0.8744730635805322,42.789794921875,,-0.002948937046665323,,,,,,,2678.719970703125,-2.0539668249387057
2011-06-17,2646.2900390625,2648.5400390625,2608.989990234375,2616.47998046875,2393690000,21.559999465942383,95.30999755859376,0.22620921223597695,,,,,,,,,-1.8916164107226905,-0.7764355429435378,-1.1151808677791526,39.550048828125,,-0.0027518278909522964,,,,,,,2678.719970703125,-2.32349745083798
2011-06-20,2608.050048828125,2636.550048828125,2607.739990234375,2629.659912109375,1625850000,22.989999771118164,90.25,0.2547368395691763,,,,,,,,,-1.7210414774745004,-1.0324762702754189,-0.6885652071990815,28.81005859375,,0.005037275935229513,,,,-0.37996997827448586,,,2678.719970703125,-1.831473955109703
2011-06-21,2640.330078125,2688.5,2634.0400390625,2687.260009765625,1882490000,19.459999084472656,90.5500030517578,0.21490887276226203,,,,,,,,,1.0273757167587974,-0.511182684207658,1.5385584009664552,58.840087890625,,0.021904010245205496,,,,0.3188104451343099,,,2687.260009765625,0.0
2011-06-22,2677.179931640625,2693.22998046875,2668.35009765625,2669.18994140625,1617370000,18.86000061035156,91.70999908447266,0.20564824772247467,,,,,,,,,1.994345991623959,0.09094297307187171,1.9034030185520874,24.8798828125,,-0.006724346841655682,,,,1.433804087040258,,,2687.260009765625,-0.6724346841655645
2011-06-23,2638.60009765625,2688.070068359375,2627.469970703125,2686.75,2060450000,20.229999542236328,93.08999633789062,0.21731657898886464,,,,,,,,,3.504828325326798,0.8795674258153268,2.6252608995114715,60.60009765625,,0.006578796930614361,,,,2.4030967717922014,,,2687.260009765625,-0.018978802340361606
2011-06-24,2681.10009765625,2682.409912109375,2647.4599609375,2652.889892578125,2842870000,19.200000762939453,99.13999938964844,0.19366553238998904,,,,,,,,,2.7812207704391767,1.305648165836228,1.4755726046029487,39.2900390625,,-0.01260262675048851,,,,1.3915608902481225,,,2687.260009765625,-1.2790022946271455
