Date,Open,High,Low,Close,Volume
2011-06-13,97.99288283593002,98.26106726987602,97.3492542245111,97.84729766845703,207599800
2011-06-14,98.74378824155892,99.43340038411368,98.70548619895327,99.0886001586914,160570400
2011-06-15,98.26106052640566,99.07326015055784,97.06574114374551,97.32625579833984,300958000
2011-06-16,97.35689550456343,98.05416555920746,96.78988860954607,97.5407943725586,308032800
2011-06-17,98.5095076151189,98.5172095264205,97.50077460357949,97.8318862915039,233284900
2011-06-20,97.50075047790688,98.54028500259231,97.46994871515913,98.3323745727539,159479000
2011-06-21,98.84059798037009,99.8724306283822,98.37088136453302,99.67992401123047,193157300
2011-06-22,99.37195964335075,99.95717577412589,99.01774214993662,99.079345703125,176703000
2011-06-23,97.91657332926155,99.05620926830764,97.16964667841911,98.79440307617188,334286500
2011-06-24,98.77131585082462,98.84831146147182,97.50077077841038,97.6470718383789,226129300
2011-06-27,97.70866644451283,98.89450213720191,97.51615981098281,98.51719665527344,168904700
2011-06-28,98.90989757967586,99.81853492280155,98.77129845511699,99.80313110351562,165556300
2011-06-29,100.2574275550045,100.81954349574683,99.8185186491198,100.65784454345703,244295500
2011-06-30,100.98128364318225,101.78210610393234,100.65017785883234,101.62040710449219,223322700
2011-07-01,101.71279832667555,103.26055912305479,101.4740919898357,103.1219482421875,202385700
2011-07-05,103.01413159311994,103.24514186471593,102.7138217649463,103.0372314453125,165936000
2011-07-06,102.79082915267627,103.29134161663919,102.49821535854197,103.16043853759766,143331600
2011-07-07,104.07681670451831,104.49262597308723,103.861210157901,104.23081970214844,170464200
2011-07-08,103.05265287331724,104.23079253514375,102.71383931703491,103.49156188964844,194100500
2011-07-11,102.22102688747299,102.5521326718229,101.38170074839378,101.62040710449219,195918600
2011-07-12,101.40478703293596,102.2441130596756,101.15067688958267,101.18147277832031,214675700
2011-07-13,101.71281610833806,102.58294997186715,101.27390703314998,101.52030944824219,204062600
2011-07-14,101.77440191692871,102.24411855570884,100.62705819278133,100.81956481933594,226111800
2011-07-15,101.38167767504986,101.54337663768912,100.69635465558608,101.40477752685547,220012800
2011-07-18,100.93507930385293,101.0890822604395,99.81854318150985,100.57316589355469,196872100
2011-07-19,101.13528338670993,102.32882687887285,101.11218353038254,102.20561981201172,166554900
2011-07-20,102.46744158053336,102.52903336658389,101.96691725890682,102.1440200805664,137145400
2011-07-21,102.72153706971699,103.81498511042454,102.1594209781276,103.56087493896484,245246300
2011-07-22,103.58396539123989,103.737968337323,102.99873774658376,103.63016510009766,126019400
2011-07-25,102.64452213818777,103.5608554401007,102.53671891147275,103.0526351928711,136653800
2011-07-26,102.9833543895026,103.15276116942793,102.43663037253037,102.66764068603516,131278200
2011-07-27,102.09782082937775,102.12862847221582,100.43456060631506,100.56547546386719,249020100
2011-07-28,100.56550211975012,101.46643204195789,100.1111773900136,100.27288818359375,207939900
2011-07-29,99.26410710317728,100.52694994266638,98.540280399506,99.58751678466797,307038400
2011-08-01,100.75028501643683,100.842696205087,98.20149866084247,99.16403198242188,325790900
2011-08-02,98.41708409072716,98.94840425030665,96.63062286376953,96.63062286376953,346653800
2011-08-03,96.76154937567667,97.26206198649658,95.12138888998315,97.15425872802734,370830800
2011-08-04,95.80669302010568,95.96070184066714,92.44937710473151,92.60338592529297,520721800
2011-08-05,93.75843519456807,93.99714154721224,89.98530389153649,92.46479034423828,655619200
2011-08-08,90.02380065850417,92.49558501093428,86.25836568021681,86.44317626953125,702263900
2011-08-09,87.83691457510395,90.58590869333266,84.91081179316865,90.46270751953125,717828700
2011-08-10,88.75324993455705,89.5386743256436,86.20445839985813,86.46627044677734,662607400
2011-08-11,87.21318392369054,91.57152990371956,86.48935729235714,90.3471908569336,487979700
2011-08-12,91.17114237721691,91.7948619869131,90.30871054820055,90.95553588867188,313731600
2011-08-15,91.77943921179696,92.97297648616095,91.63313233064969,92.88057708740234,258810600
2011-08-16,91.99507920522596,92.93451260090929,91.1018455257773,92.08747863769531,294095200
2011-08-17,92.59568752404309,93.3272103562113,91.41754790757788,92.1490707397461,238201100
2011-08-18,89.70806326580855,92.17984696497645,87.31328102108648,88.17571258544922,512956300
2011-08-19,86.9822099906667,89.23068640676183,86.62799843537806,86.73580169677734,428281300
2011-08-22,88.68394477022244,88.73015035207608,86.5586759996933,86.80508422851562,275090600
2011-08-23,87.12850762994339,89.7619970911803,86.68959271973723,89.66189575195312,331136600
2011-08-24,89.4693863200148,91.0479372154774,89.26147586254629,90.92473602294922,246869700
2011-08-25,91.42526507205844,91.94118150818849,89.22298842323552,89.5386962890625,312365400
2011-08-26,89.08438234492117,91.25585719775917,87.66753029652726,90.84004211425781,314495900
2011-08-29,92.06438154666371,93.5043334525699,90.90934160738705,93.45043182373047,190977200
2011-08-30,93.04231693370329,94.27435833788007,91.83337538791156,93.69683837890625,241315700
2011-08-31,94.2974527414809,95.10598298720828,93.4042249781867,94.1126480102539,301828400
2011-09-01,94.16651798422733,95.02124765676511,93.00377661328083,93.12698364257812,254585900
2011-09-02,91.18653448817,93.07310289189618,90.42420991678262,90.74761962890625,255517200
2011-09-06,88.08335798902525,90.2163353407533,88.07565607669947,90.0854263305664,285130500
2011-09-07,91.44837073234025,92.665008429455,91.14035888345096,92.62651062011719,209803200
2011-09-08,92.07206113202564,93.12699946903564,91.45603763051818,91.66394805908203,250568200
2011-09-09,90.61674619286889,91.67938096968348,88.76868085832535,89.2614974975586,380195100
2011-09-12,88.14494081377853,89.90830233216863,87.82153107018813,89.83899688720703,305793500
2011-09-13,90.13161138758564,91.00173928727541,89.49248793148008,90.66292572021484,272514700
2011-09-14,91.12492055346407,93.01919065063458,89.87748155634586,91.91805267333984,319389500
2011-09-15,92.90369092620159,93.53511237041258,91.94115787863389,93.50431060791016,326777200
2011-09-16,93.87973540634535,94.4060627890172,93.1289442672896,94.05775451660156,284528300
2011-09-19,92.51747332157171,93.60108919326447,91.89052671165746,93.12120056152344,241517000
2011-09-20,93.51593293519497,94.42152365343495,92.88898642337197,93.01282501220703,218932200
2011-09-21,93.05926133421325,93.34564136699521,90.12576157701952,90.27281951904297,316251300
2011-09-22,87.6566991674185,88.39974862391843,86.14738088159554,87.3548355102539,513911300
2011-09-23,86.77432915256492,88.36105325040218,86.70466512759195,87.88116455078125,307242500
